Short Name,Playing role,Major teams,Current age,Batting style,Fielding position,Height,Born,Relation,Education,Nickname,Full name,current_team,bowl_arm,bowl_style
AG Paunikar,Wicketkeeper batsman,"Railways,",28 years 196 days,Right-hand bat,,,"April 18, 1988, Nagpur, Maharashtra, India ",,,,Amit Gajanan Paunikar,Rajasthan Royals,Right-arm,
AJ Finch,Top-order batsman,"Australia,",29 years 349 days,Right-hand bat,,1.74 m,"November 17, 1986, Colac, Victoria ",,,Finchy,Aaron James Finch,Gujarat Lions,Left-arm,slow
STR Binny,Allrounder,"India,",32 years 150 days,Right-hand bat,,,"June 3, 1984, Bangalore, Karnataka ",Father - RMH Binny,,,Stuart Terence Roger Binny,Royal Challengers Bangalore,Right-arm,medium
ND Doshi,Bowler,"Bangalore Royal Challengers,",38 years 25 days,Right-hand bat,,6 ft 4 in,"October 6, 1978, Nottingham ",Father - DR Doshi,"King Alfred School, London","Troll, Dosh",Nayan Dilip Doshi,Rajasthan Royals,Left-arm,slow
TG Southee,Bowler,"New Zealand,",27 years 325 days,Right-hand bat,,,"December 11, 1988, Whangarei, Northland ",,,,Timothy Grant Southee,Mumbai Indians,Right-arm,medium-fast
S Randiv,Bowler,"Sri Lanka,",31 years 275 days,Right-hand bat,,6 ft 0 in,"January 30, 1985, Matara ",Brother - MM Rasmijinan,"Rahula College, Matara",,Hewa Kaluhalamullage Suraj Randiv Kaluhalamulla,Chennai Super Kings,Right-arm,offbreak
IR Jaggi,Batsman,"Deccan Chargers,",27 years 278 days,Right-hand bat,,,"January 27, 1989, Bacheli ",,,,Ishank Rajiv Jaggi,Deccan Chargers,Right-arm,legbreak
DT Christian,Allrounder,"Australia,",33 years 180 days,Right-hand bat,,,"May 4, 1983, Camperdown, Sydney, New South Wales ",,,,Daniel Trevor Christian,Royal Challengers Bangalore,Right-arm,fast-medium
AL Menaria,Allrounder,"Central Zone,",26 years 2 days,Left-hand bat,,,"October 29, 1990, Udaipur, Rajasthan ",,,,Ashok Lakshminarayan Menaria,Rajasthan Royals,Left-arm,slow
RV Gomez,Allrounder,"Kerala,",31 years 15 days,Right-hand bat,,,10/16/1985,,,,Raiphi Vincent Gomez,Pune Warriors,Right-arm,medium
MA Agarwal,Batsman,"Delhi Daredevils,",25 years 258 days,Right-hand bat,,,"February 16, 1991, Bangalore, Karnataka ",,,,Mayank Anurag Agarwal,Delhi Daredevils,Right-arm,
AUK Pathan,Bowler,"Railways,",32 years 136 days,Right-hand bat,,,"June 17, 1984, Ankleshwar, Gujarat ",,,,Asad Ullah Khan Pathan,Royal Challengers Bangalore,Right-arm,medium
UBT Chand,Top-order batsman,"Delhi,",23 years 219 days,Right-hand bat,,,"March 26, 1993, Delhi ",,,,Unmukt Bharat Thakur Chand,Mumbai Indians,Right-arm,offbreak
DJ Jacobs,Wicketkeeper batsman,"Eagles,",33 years 362 days,Right-hand bat,,,"November 4, 1982, Klerksdorp, Transvaal ",Brother - CJ Jacobs,,,David Johan Jacobs,Mumbai Indians,Right-arm,medium
JEC Franklin,Allrounder,"New Zealand,",35 years 359 days,Left-hand bat,,,"November 7, 1980, Wellington ",Aunt - JM Coulston,,,James Edward Charles Franklin,Mumbai Indians,Left-arm,medium
Sunny Singh,Batsman,"Haryana,",29 years 318 days,Right-hand bat,,,"December 18, 1986, Bhiwani ",,,,Sunny Singh,Kings XI Punjab,Right-arm,medium-fast
NJ Rimmington,Bowler,"Kings XI Punjab,",33 years 355 days,Right-hand bat,,1.77 m,"November 11, 1982, Redcliffe, Queensland ",Sister - R Rimmington,,Rimmo,Nathan John Rimmington,Kings XI Punjab,Right-arm,fast-medium
AC Thomas,Bowler,"South Africa,",39 years 265 days,Right-hand bat,,,"February 9, 1977, Cape Town, Cape Province ",,,,Alfonso Clive Thomas,Pune Warriors,Right-arm,fast-medium
WD Parnell,Bowler,"South Africa,",27 years 93 days,Left-hand bat,,,"July 30, 1989, Port Elizabeth, Cape Province ",,Grey High School,"Pigeon, Parny",Wayne Dillon Parnell,Delhi Daredevils,Left-arm,medium-fast
RN ten Doeschate,Allrounder,"Netherlands,",36 years 123 days,Right-hand bat,,5 ft 11 in,"June 30, 1980, Port Elizabeth, Cape Province ",,,Tendo,Ryan Neil ten Doeschate,Kolkata Knight Riders,Right-arm,medium-fast
S Nadeem,Bowler,"Bihar Under-14s,",27 years 80 days,Right-hand bat,,,"August 12, 1989, Bokaro, Bihar ",,,,Shahbaz Nadeem,Delhi Daredevils,Left-arm,slow
BA Bhatt,Bowler,"Baroda,",26 years 171 days,Left-hand bat,,,"May 13, 1990, Vadodara, Gujarat ",,,,Bhargav Ashok Bhatt,Kings XI Punjab,Left-arm,slow
JJ van der Wath,Allrounder,"South Africa,",38 years 295 days,Right-hand bat,,,"January 10, 1978, Newcastle, Natal ",,,,Johannes Jacobus van der Wath,Royal Challengers Bangalore,Right-arm,medium-fast
R Ninan,Allrounder,"Goa,",30 years 347 days,Right-hand bat,,5 ft 8 in,"November 19, 1985, Thiruvananthapuram ",,,,Ryan Ninan,Royal Challengers Bangalore,Right-arm,offbreak
S Aravind,Bowler,"India,",32 years 206 days,Left-hand bat,,,"April 8, 1984, Bangalore, Karnataka ",,,,Sreenath Aravind,Royal Challengers Bangalore,Left-arm,medium-fast
Shakib Al Hasan,Allrounder,"Bangladesh,",29 years 221 days,Left-hand bat,,,"March 24, 1987, Magura, Jessore ",,,,Shakib Al Hasan,Kolkata Knight Riders,Left-arm,slow
MS Wade,Wicketkeeper batsman,"Australia,",28 years 310 days,Left-hand bat,,1.70 m,"December 26, 1987, Hobart, Tasmania ",,,Wadey,Matthew Scott Wade,Delhi Daredevils,Right-arm,medium
TD Paine,Wicketkeeper batsman,"Australia,",31 years 328 days,Right-hand bat,,1.80 m,"December 8, 1984, Hobart, Tasmania ",,"Lauderdale Primary, Rokeby High, Rosny College",Kid,Timothy David Paine,Pune Warriors,Right-arm,medium
DH Yagnik,Wicketkeeper,"Delhi Giants,",33 years 131 days,Left-hand bat,,,"June 22, 1983, Banswara, Rajasthan ",,,,Dishant Harendra Yagnik,Rajasthan Royals,Left-arm,
BJ Haddin,Wicketkeeper batsman,"Australia,",39 years 8 days,Right-hand bat,,1.80 m,"October 23, 1977, Cowra, New South Wales ",,,BJ,Bradley James Haddin,Kolkata Knight Riders,Right-arm,
J Syed Mohammad,Bowler,"Assam,",33 years 150 days,Left-hand bat,,,"June 3, 1983, Madras (now Chennai), Tamil Nad",,,,Jamaluddin Syed Mohammad,Royal Challengers Bangalore,Left-arm,slow
VR Aaron,Bowler,"India,",27 years 2 days,Right-hand bat,,,"October 29, 1989, Singhbhum, Bihar (now Jharkhand) ",,,,Varun Raymond Aaron,Royal Challengers Bangalore,Right-arm,fast
NL McCullum,Bowler,"New Zealand,",36 years 60 days,Right-hand bat,,,"September 1, 1980, Dunedin, Otago ","Father - SJ McCullum,",,,Nathan Leslie McCullum,Pune Warriors,Right-arm,offbreak
JE Taylor,Bowler,"West Indies,",32 years 131 days,Right-hand bat,,,"June 22, 1984, St Elizabeth, Jamaica ",,,,Jerome Everton Taylor,Pune Warriors,Right-arm,fast
KMDN Kulasekara,Bowler,"Sri Lanka,",34 years 101 days,Right-hand bat,,,"July 22, 1982, Nittambuwa ",,,,Kulasekara Mudiyanselage Dinesh Nuwan Kulasekara,Chennai Super Kings,Right-arm,fast-medium
TR Birt,Middle-order batsman,"Australia,",34 years 327 days,Left-hand bat,,1.78 m,"December 9, 1981, Sale, Victoria ",,,Edgar,Travis Rodney Birt,Delhi Daredevils,Right-arm,medium
Harpreet Singh,Batsman,"Central Zone,",25 years 81 days,Left-hand bat,,,"August 11, 1991, Durg, Madhya Pradesh ",,,,Harpreet Singh Bhatia,Pune Warriors,Right-arm,medium
M Klinger,Batsman,"Adelaide Strikers,",36 years 119 days,Right-hand bat,,1.79 m,"July 4, 1980, Kew, Melbourne, Victoria ",,,Maxy,Michael Klinger,Kochi Tuskers Kerala,Right-arm,
P Parameswaran,,"Kerala,",31 years 154 days,Right-hand bat,,,"May 30, 1985, Thanner Mukham ",,,,Prasanth Parameswaran,Royal Challengers Bangalore,Left-arm,medium
AC Blizzard,Batsman,"Adelaide Strikers,",32 years 126 days,Left-hand bat,,1.76 m,"June 27, 1984, Shepparton, Victoria ",,,Blizz,Aiden Craig Blizzard,Mumbai Indians,Left-arm,medium
I Malhotra,Bowler,"Chandigarh Lions,",32 years 161 days,Right-hand bat,,,"May 23, 1984, Srinagar ",,,,Ishan Malhotra,Deccan Chargers,Right-arm,medium-fast
CA Ingram,Top-order batsman,"South Africa,",31 years 120 days,Left-hand bat,,,"July 3, 1985, Port Elizabeth ",,,,Colin Alexander Ingram,Delhi Daredevils,Left-arm,legbreak
CJ Ferguson,Middle-order batsman,"Australia,",31 years 345 days,Right-hand bat,,1.80 m,"November 21, 1984, North Adelaide, South Australia ",,"Black Friars Priory School, Prospect; Marryatville High School, Kensington",Ferg,Callum James Ferguson,Pune Warriors,Right-arm,medium
B Kumar,Bowler,"India,",26 years 269 days,Right-hand bat,,,"February 5, 1990, Meerut, Uttar Pradesh ",,,,Bhuvneshwar Kumar Singh,Sunrisers Hyderabad,Right-arm,medium
AA Kazi,Bowler,"Karnataka State Cricket Association Colts XI,",27 years 32 days,Left-hand bat,,,"September 29, 1989, Bangalore, Karnataka ",,,,Abrar Anjum Kazi,NA,Left-arm,slow
Anand Rajan,Bowler,"Deccan Chargers,",29 years 197 days,Right-hand bat,,,"April 17, 1987, Nagpur, Maharashtra ",,,,Anand Rajan,NA,Right-arm,medium
AA Chavan,Batsman,"Mumbai,",31 years 3 days,Left-hand bat,,,"October 28, 1985, Bombay (now Mumbai), Maharashtra ",,,,Ankeet Anil Chavan,Rajasthan Royals,Left-arm,slow
P Prasanth,,"Kerala Under-16s,",31 years 162 days,Left-hand bat,,,"May 22, 1985, Thiruvananthapuram, Kerala ",,,,Padmanabhan Prasanth,NA,Left-arm,slow
Y Gnaneswara Rao,Allrounder,"Andhra,",32 years 67 days,Right-hand bat,,,"August 25, 1984, Visakhapatnam, Andhra Pradesh ",Brother - Y Venugopal Rao,,,Yalaka Gnaneswara Rao,Kochi Tuskers Kerala,Right-arm,medium
S Rana,Bowler,"Haryana,",32 years 43 days,Right-hand bat,,,"September 18, 1984, Gurgaon, Haryana ",,,,Sachin Rana,Royal Challengers Bangalore,Right-arm,medium-fast
JP Faulkner,Bowling allrounder,"Australia,",26 years 185 days,Right-hand bat,,1.86 m,"April 29, 1990, Launceston, Tasmania ",Father - PI Faulkner,,,James Peter Faulkner,Gujarat Lions,Left-arm,fast-medium
SS Mundhe,Allrounder,"India Red,",28 years 4 days,Right-hand bat,,,"October 27, 1988, Nanded ",,,,Shrikant Shrihari Mundhe,NA,Right-arm,medium
RW Price,Bowler,"Zimbabwe,",40 years 141 days,Right-hand bat,,,"June 12, 1976, Salisbury (now Harare) ",,,,Raymond William Price,NA,Left-arm,slow
F dPlessis,Middle-order batsman,"South Africa,",32 years 110 days,Right-hand bat,,5 ft 11 in,"July 13, 1984, Pretoria ",,"Affies Boys School, Pretoria",,Francois dPlessis,NA,Right-arm,legbreak
RE Levi,Opening batsman,"Cape Cobras,",28 years 291 days,Right-hand bat,,,"January 14, 1988, Johannesburg ",,,,Richard Ernst Levi,Mumbai Indians,Right-arm,medium
GJ Maxwell,Batting allrounder,"Australia,",28 years 17 days,Right-hand bat,,,"October 14, 1988, Kew, Melbourne, Victoria ",,,,Glenn James Maxwell,Kings XI Punjab,Right-arm,offbreak
M de Lange,Bowler,"South Africa,",26 years 18 days,Right-hand bat,,,"October 13, 1990, Tzaneen, Limpopo ",,,,Marchant de Lange,Mumbai Indians,Right-arm,fast
SPD Smith,Allrounder,"Australia,",27 years 151 days,Right-hand bat,,,"June 2, 1989, Sydney, New South Wales ",,,,Steven Peter Devereux Smith,Rising Pune Supergiants,Right-arm,legbreak
MN Samuels,Top-order batsman,"West Indies,",35 years 269 days,Right-hand bat,,,"February 5, 1981, Kingston, Jamaica ",Brother - RG Samuels,,,Marlon Nathaniel Samuels,Pune Warriors,Right-arm,offbreak
SA Yadav,Batsman,"India Under-23s,",26 years 47 days,Right-hand bat,,,"September 14, 1990, Mumbai, Maharashtra ",,,,Suryakumar Ashok Yadav,Kolkata Knight Riders,Right-arm,medium
KK Cooper,Allrounder,"Chittagong Kings,",27 years 258 days,Right-hand bat,,,"February 16, 1989, Trinidad ",,,,Kevon Keston Cooper,Rajasthan Royals,Right-arm,medium
HV Patel,Bowler,"Gujarat,",25 years 343 days,Right-hand bat,,,"November 23, 1990, Sanand, Gujarat ",,,,Harshal Vikram Patel,Royal Challengers Bangalore,Right-arm,medium
DAJ Bracewell,Bowler,"New Zealand,",26 years 33 days,Right-hand bat,,,"September 28, 1990, Tauranga, Bay of Plenty ","Father - BP Bracewell,",,,Douglas Andrew John Bracewell,Delhi Daredevils,Right-arm,fast-medium
DJ Harris,,"Adelaide Strikers,",36 years 305 days,Right-hand bat,,1.75 m,"December 31, 1979, North Adelaide, South Australia ",,,Mass,Daniel Joseph Harris,Deccan Chargers,Right-arm,medium
Ankit Sharma,Bowler,"Deccan Chargers,",25 years 194 days,Left-hand bat,,,"April 20, 1991, Gwalior, Madhya Pradesh ",,,,Ankit Nagendra Sharma,Rising Pune Supergiants,Left-arm,slow
TP Sudhindra,,"Deccan Chargers,",32 years 190 days,Left-hand bat,,,"April 24, 1984, Hindupur, Andhra Pradesh ",,,,Taduri Prakash Chandra Sudhindra,Deccan Chargers,Right-arm,fast
SP Narine,Bowler,"West Indies,",28 years 158 days,Left-hand bat,,,"May 26, 1988, Trinidad ",,,,Sunil Philip Narine,Kolkata Knight Riders,Right-arm,offbreak
GB Hogg,Allrounder,"Australia,",45 years 268 days,Left-hand bat,,1.83 m,"February 6, 1971, Narrogin, Western Australia ",,,"Docker, George",George Bradley Hogg,Kolkata Knight Riders,Left-arm,slow
RR Bhatkal,Allrounder,"Karnataka,",31 years 60 days,Right-hand bat,,,"September 1, 1985, Belgaum, Karnataka ",Brother - Rahul R Bhatkal,,,RajRavi Bhatkal,Royal Challengers Bangalore,Right-arm,medium
P Awana,Bowler,"India,",30 years 104 days,Right-hand bat,,,"July 19, 1986, Delhi, India ",,,,Parvinder Awana,Kings XI Punjab,Right-arm,medium
V Pratap Singh,,"Bengal,",24 years 181 days,Right-hand bat,,,"May 3, 1992, Nalanda, Bihar ",,,,Veer Pratap Singh,Deccan Chargers,Right-arm,medium
CJ McKay,Bowler,"Australia,",33 years 254 days,Right-hand bat,,1.94 m,"February 20, 1983, Melbourne, Victoria ",,,,Clinton James McKay,Mumbai Indians,Right-arm,fast-medium
AD Russell,Allrounder,"West Indies,",28 years 185 days,Right-hand bat,,,"April 29, 1988, Jamaica ",,,,Andre Dwayne Russell,Kolkata Knight Riders,Right-arm,fast
A Ashish Reddy,Allrounder,"Deccan Chargers,",25 years 250 days,Right-hand bat,,,"February 24, 1991, Secunderabad ",,,,Ammana Ashish Reddy,Sunrisers Hyderabad,Right-arm,medium
N Saini,,"Haryana,",28 years 3 days,Right-hand bat,,,"October 28, 1988, Rohtak ",,,,Nitin Saini,Kings XI Punjab,Right-arm,
DA Miller,Middle-order batsman,"South Africa,",27 years 143 days,Left-hand bat,,,"June 10, 1989, Pietermaritzburg, Natal ",,,,David Andrew Miller,Kings XI Punjab,Right-arm,offbreak
Azhar Mahmood,,"Pakistan,",41 years 246 days,Right-hand bat,,,"February 28, 1975, Rawalpindi, Punjab ",,,,Azhar Mahmood Sagar,Kolkata Knight Riders,Right-arm,fast-medium
P Negi,Bowler,"Air India,",23 years 299 days,Left-hand bat,,,"January 6, 1993, Delhi ",,,,Pawan Negi,Delhi Daredevils,Left-arm,slow
A Chandila,Allrounder,"Delhi Daredevils,",32 years 331 days,Right-hand bat,,,"December 5, 1983, Faridabad, Haryana ",,,,Ajit  Chandila,Rajasthan Royals,Right-arm,offbreak
LJ Wright,Allrounder,"England,",31 years 238 days,Right-hand bat,,6 ft 0 in,"March 7, 1985, Grantham, Lincolnshire ",,Ratcliffe College. Loughborough University,,Luke James Wright,Pune Warriors,Right-arm,medium-fast
RJ Peterson,Bowler,"South Africa,",37 years 88 days,Left-hand bat,,,"August 4, 1979, Port Elizabeth, Cape Province ",,,,Robin John Peterson,Mumbai Indians,Left-arm,slow
R Shukla,,"Delhi Daredevils,",26 years 64 days,Right-hand bat,,,"August 28, 1990, Jharkhand ",,,,Rahul Shukla,Delhi Daredevils,Right-arm,medium
BB Samantray,,"Deccan Chargers,",27 years 322 days,Right-hand bat,,,"December 14, 1988, Cuttack, Orissa ",,,,Biplab Bipin Samantray,Sunrisers Hyderabad,Right-arm,
MJ Clarke,Middle-order batsman,"Australia,",35 years 212 days,Right-hand bat,,1.78 m,"April 2, 1981, Liverpool, New South Wales ",,,"Pup, Clarkey",Michael John Clarke,Pune Warriors,Left-arm,slow
BW Hilfenhaus,Bowler,"Australia,",33 years 230 days,Right-hand bat,,1.86 m,"March 15, 1983, Ulverstone, Tasmania ",,,Hilfy,Benjamin William Hilfenhaus,Chennai Super Kings,Right-arm,fast-medium
Gurkeerat Singh,Middle-order batsman,"India,",26 years 124 days,Right-hand bat,,,"June 29, 1990, Muktsar, Punjab ",,,,Gurkeerat Rupinder Singh,Kings XI Punjab,Right-arm,offbreak
AP Majumdar,,"Bengal,",32 years 184 days,Right-hand bat,,,"April 30, 1984, Chandannagore, Hooghly, Bengal, India ",,,,Anustup Prabir Majumdar,Pune Warriors,Right-arm,legbreak
PA Reddy,,"Deccan Chargers,",25 years 263 days,Right-hand bat,,,"February 11, 1991, Hyderabad ",,,,Produturi Akshath Reddy,Sunrisers Hyderabad,Right-arm,legbreak
K Upadhyay,,"Pune Warriors,",30 years 135 days,Right-hand bat,,,"June 18, 1986, Agar, Uttar Pradesh ",,,,Krishnakant Upadhyay,Pune Warriors,Right-arm,medium
CA Lynn,Batsman,"Australia,",26 years 204 days,Right-hand bat,,,"April 10, 1990, Brisbane, Queensland ",,,,Christopher Austin Lynn,Kolkata Knight Riders,Left-arm,slow
Sunny Gupta,,"Delhi Daredevils,",28 years 34 days,Right-hand bat,,,"September 27, 1988, Jamshedpur, Bihar ",,,,Sunny Gupta,Delhi Daredevils,Right-arm,offbreak
MC Juneja,,"Delhi Daredevils,",26 years 49 days,Right-hand bat,,,"September 12, 1990, Ahmedabad, Gujarat ",,,,Manpreet Charanjit Juneja,Delhi Daredevils,Right-arm,offbreak
KK Nair,Top-order batsman,"India,",24 years 330 days,Right-hand bat,,,"December 6, 1991, Jodhpur, Rajasthan ",,,,Karun Kaladharan Nair,Delhi Daredevils,Right-arm,offbreak
MG Johnson,Bowler,"Australia,",34 years 364 days,Left-hand bat,,1.89 m,"November 2, 1981, Townsville, Queensland ",,,"Midge, Notch",Mitchell Guy Johnson,Kings XI Punjab,Left-arm,fast
JJ Bumrah,Bowler,"India,",22 years 330 days,Right-hand bat,,,"December 6, 1993, Ahmedabad ",,,,Jasprit Jasbirsingh Bumrah,Mumbai Indians,Right-arm,medium
GH Vihari,,"Hyderabad (India),",23 years 18 days,Right-hand bat,,,"October 13, 1993, Kakinada, Andhra Pradesh ",,,,Gade Hanuma Vihari,Sunrisers Hyderabad,Right-arm,offbreak
MDKJ Perera,Wicketkeeper batsman,"Sri Lanka,",26 years 75 days,Left-hand bat,,5 ft 6 in,"August 17, 1990, Kalubowila ",,"Royal College, Colombo",,Mathurage Don Kusal Janith Perera,Rajasthan Royals,Left-arm,
S Badree,Bowler,"West Indies,",35 years 236 days,Right-hand bat,,,"March 9, 1981, Barrackpore, Trinidad ",,,,Samuel Badree,NA,Right-arm,legbreak
B Laughlin,Bowler,"Australia,",34 years 28 days,Right-hand bat,,,"October 3, 1982, Box Hill, Victoria ",Father - TJ Laughlin,,,Ben Laughlin,Chennai Super Kings,Right-arm,fast-medium
AS Rajpoot,Bowler,"Chennai Super Kings,",22 years 332 days,Right-hand bat,,,"December 4, 1993, Kanpur ",,,,Ankit Singh Rajpoot,Chennai Super Kings,Right-arm,medium
M Vohra,Opening batsman,"D.A.V College (Chandigarh),",23 years 105 days,Right-hand bat,,,"July 18, 1993, Chandigarh, Punjab ",,,,Manan Vohra,Kings XI Punjab,Right-arm,medium
Mohammed Shami,Bowler,"India,",26 years 58 days,Right-hand bat,,,"September 3, 1990, Amroha, Uttar Pradesh ",,,,Mohammed Shami Ahmed,Delhi Daredevils,Right-arm,fast-medium
BMAJ Mendis,Allrounder,"Sri Lanka,",33 years 290 days,Left-hand bat,,5 ft 8 in,"January 15, 1983, Colombo ",,"S' Thomas' College, Colombo",,Balapuwaduge Manukulasuriya Amith Jeevan Mendis,Delhi Daredevils,Left-arm,legbreak
CH Morris,Bowling allrounder,"South Africa,",29 years 184 days,Right-hand bat,,,"April 30, 1987, Pretoria, Transvaal ",Father - WF Morris,,,Christopher Henry Morris,Delhi Daredevils,Right-arm,fast-medium
Harmeet Singh,,"Air India Red,",24 years 54 days,Left-hand bat,,,"September 7, 1992, Mumbai ",,,,Harmeet Singh,Kings XI Punjab,Left-arm,slow
S Kaul,Bowler,"Delhi Daredevils,",26 years 165 days,Right-hand bat,,,"May 19, 1990, Pathankot, Punjab ",Brother - Kaul,,,Siddarth Kaul,Delhi Daredevils,Right-arm,medium
R Dhawan,Allrounder,"India,",26 years 255 days,Right-hand bat,,,"February 19, 1990, Mandi, Himachal Pradesh ",,,,Rishi Dhawan,Kings XI Punjab,Right-arm,medium-fast
R Rampaul,Bowler,"Ireland,",32 years 16 days,Left-hand bat,,,"October 15, 1984, Preysal, Trinidad ",,,,Ravindranath Rampaul,Royal Challengers Bangalore,Right-arm,fast-medium
MM Sharma,Bowler,"India,",28 years 43 days,Right-hand bat,,,"September 18, 1988, Ballabhgarh, Haryana ",,,,Mohit Mahipal Sharma,Kings XI Punjab,Right-arm,medium
SMSM Senanayake,Bowler,"Sri Lanka,",31 years 265 days,Right-hand bat,,6 ft 0 in,"February 9, 1985, Colombo ",,Ananda College,,Senanayake Mudiyanselage Sachithra Madhushanka Senanayake,Kolkata Knight Riders,Right-arm,offbreak
SV Samson,Wicketkeeper batsman,"India,",21 years 355 days,Right-hand bat,,,"November 11, 1994, Pulluvila, Vizhinjam, Trivandrum ",,,,SanjViswanath Samson,Delhi Daredevils,Right-arm,
BJ Rohrer,Middle-order batsman,"Australia,",35 years 219 days,Left-hand bat,,1.80 m,"March 26, 1981, Bankstown, New South Wales ",,,,Ben James Rohrer,Delhi Daredevils,Left-arm,
KL Rahul,Wicketkeeper batsman,"India,",24 years 196 days,Right-hand bat,,,"April 18, 1992, Bangalore, Karnataka ",,,,Kannaur Lokesh Rahul,Royal Challengers Bangalore,Right-arm,
Q de Kock,Wicketkeeper batsman,"South Africa,",23 years 319 days,Left-hand bat,,,"December 17, 1992, Johannesburg, Gauteng ",,,,Quinton de Kock,Delhi Daredevils,Left-arm,
JO Holder,Bowling allrounder,"West Indies,",24 years 361 days,Right-hand bat,,,"November 5, 1991, Barbados ",,,,Jason Omar Holder,Kolkata Knight Riders,Right-arm,medium-fast
IC Pandey,Bowler,"Central Zone,",27 years 77 days,Right-hand bat,,,8/15/1989,,,,Ishwar Chand Pandey,Pune Warriors,Right-arm,medium
CM Gautam,Wicketkeeper,"Delhi Daredevils,",30 years 237 days,Right-hand bat,,,"March 8, 1986, Bangalore, Karnataka ",,,,Chidhambaram Muralidharen Gautam,Delhi Daredevils,Right-arm,
Sandeep Sharma,Bowler,"India,",23 years 166 days,Right-hand bat,,,"May 18, 1993, Patiala, Punjab ",,,,Sandeep Sharma,Kings XI Punjab,Right-arm,medium
YS Chahal,Bowler,"India,",26 years 100 days,Right-hand bat,,,"July 23, 1990, Jind, Haryana ",,,,Yuzvendra Singh Chahal,Royal Challengers Bangalore,Right-arm,legbreak
X Thalaivan Sargunam,,"Badureliya Sports Club,",31 years 169 days,Right-hand bat,,,"May 15, 1985, Nagar Kowil, Tamil Nad",,,,Xavier Thalaivan Sargunam,Sunrisers Hyderabad,Right-arm,offbreak
DJG Sammy,Allrounder,"West Indies,",32 years 316 days,Right-hand bat,,,"December 20, 1983, Micoud, St Lucia ",,,,Darren Julius Garvey Sammy,Royal Challengers Bangalore,Right-arm,medium-fast
KW Richardson,Bowler,"Australia,",25 years 262 days,Right-hand bat,,,"February 12, 1991, Eudunda, South Australia ",Brother - CJ Richardson,,,Kane William Richardson,Royal Challengers Bangalore,Right-arm,fast-medium
P Suyal,Bowler,"Delhi,",27 years 16 days,Right-hand bat,,,"October 15, 1989, Paudi, Uttaranchal ",,,,Pawan Shakland Suyal,NA,Left-arm,medium
PV Tambe,Bowler,"Dr DY Patil Sports Academy,",45 years 23 days,Right-hand bat,,,"October 8, 1971, Bombay (now Mumbai), Maharashtra ",,,,Pravin Vijay Tambe,Gujarat Lions,Right-arm,legbreak
UA Birla,,"Madhya Pradesh,",26 years 349 days,Right-hand bat,,,"November 17, 1989, Calcutta (now Kolkata), Bengal ",,,,Udit Alok Birla,Pune Warriors,Right-arm,medium
Parvez Rasool,Bowling allrounder,"India,",27 years 261 days,Right-hand bat,,,"February 13, 1989, Bijbehara, Jammand Kashmir ",,,,Parvez Ghulam Rasool Zargar,Royal Challengers Bangalore,Right-arm,offbreak
MG Neser,,"Adelaide Strikers,",26 years 216 days,Right-hand bat,,,"March 29, 1990, Pretoria, South Africa ",Brother - FN Neser,,,Michael Gertges Neser,NA,Right-arm,medium
Sachin Baby,Batsman,"India A,",27 years 318 days,Left-hand bat,,,"December 18, 1988, Thodupuzha, Kerala ",,,,Sachin Baby,Royal Challengers Bangalore,Right-arm,offbreak
NM Coulter-Nile,Bowler,"Australia,",29 years 20 days,Right-hand bat,,1.90 m,"October 11, 1987, Osborne Park, Western Australia ",,,River,Nathan Mitchell Coulter-Nile,Delhi Daredevils,Right-arm,fast
CJ Anderson,Batting allrounder,"New Zealand,",25 years 323 days,Left-hand bat,,,"December 13, 1990, Christchurch, Canterbury ",,,,Corey James Anderson,Mumbai Indians,Left-arm,medium-fast
NJ Maddinson,Opening batsman,"Australia A,",24 years 315 days,Left-hand bat,,,"December 21, 1991, Nowra, New South Wales ",,,,Nicolas James Maddinson,Royal Challengers Bangalore,Left-arm,slow
MA Starc,Bowler,"Australia,",26 years 275 days,Left-hand bat,,1.96 m,"January 30, 1990, Baulkham Hills, Sydney, New South Wales ",Wife - AJ Healy,,,Mitchell Aaron Starc,Royal Challengers Bangalore,Left-arm,fast
JDS Neesham,Batting allrounder,"New Zealand,",26 years 44 days,Left-hand bat,,,"September 17, 1990, Auckland ",,,,James Douglas Sheahan Neesham,Delhi Daredevils,Right-arm,medium
AR Patel,Bowling allrounder,"India,",22 years 285 days,Left-hand bat,,,"January 20, 1994, Anand, Gujarat ",,,,Axar Rajeshbhai Patel,Kings XI Punjab,Left-arm,slow
BR Dunk,Wicketkeeper batsman,"Australia,",29 years 234 days,Left-hand bat,,,"March 11, 1987, Innisfail, Queensland ",,,,Ben Robert Dunk,Mumbai Indians,Left-arm,
RR Rossouw,Top-order batsman,"South Africa,",27 years 22 days,Left-hand bat,,,"October 9, 1989, Bloemfontein, Orange Free State ",,,,Rilee Roscoe Rossouw,Royal Challengers Bangalore,Right-arm,offbreak
R Tewatia,,"Oil & Natural Gas Corporation,",23 years 164 days,Left-hand bat,,,"May 20, 1993, Sihi, Haryana ",,,,Rahul Tewatia,Rajasthan Royals,Left-arm,legbreak
Shivam Sharma,,"Delhi Under-19s,",23 years 52 days,Right-hand bat,,,"September 9, 1993, Delhi ",,,,Shivam Sharma,Kings XI Punjab,Right-arm,offbreak
