Short Name,Playing role,Major teams,Current age,Batting style,Fielding position,Height,Born,Relation,Education,Nickname,Full name,current_team,bowl_arm,bowl_style
M Kaif,Batsman,"India,",35 years 335 days,Right-hand bat,,,"December 1, 1980, Allahabad, Uttar Pradesh ","Father - M Tarif,",,,Mohammad Kaif,Royal Challengers Bangalore,Right-arm,offbreak
DS Lehmann,Top-order batsman,"Australia,",46 years 269 days,Left-hand bat,,1.76 m,"February 5, 1970, Gawler, South Australia ","Brother-in-law - C White,",,Boof,Darren Scott Lehmann,Rajasthan Royals,Left-arm,slow
RA Jadeja,Allrounder,"India,",27 years 330 days,Left-hand bat,,,"December 6, 1988, Navagam-Khed, Saurashtra ",,,,Ravindrasinh Anirudhsinh Jadeja,Gujarat Lions,Left-arm,slow
M Rawat,,"Central Zone,",31 years 6 days,Right-hand bat,,,"October 25, 1985, Faridabad ",,,,Mahesh Rawat,Pune Warriors,Right-arm,
D Salunkhe,Bowler,"Cricket Star XI,",33 years 354 days,Right-hand bat,,,"November 12, 1982, Mumbai ",,,,Dinesh Salunkhe,Rajasthan Royals,Right-arm,legbreak
SK Warne,Bowler,"Australia,",47 years 48 days,Right-hand bat,,1.83 m,"September 13, 1969, Ferntree Gully, Victoria ",,,Warney,Shane Keith Warne,Rajasthan Royals,Right-arm,legbreak
SK Trivedi,Bowler,"Air India,",34 years 57 days,Right-hand bat,,,"September 4, 1982, Ahmedabad, Gujarat ",,,,Siddharth Kishorkumar Trivedi,Rajasthan Royals,Right-arm,medium
G Gambhir,Top-order batsman,"India,",35 years 17 days,Left-hand bat,,,"October 14, 1981, Delhi ",,,,Gautam Gambhir,Kolkata Knight Riders,Left-arm,legbreak
V Sehwag,Top-order batsman,"India,",38 years 11 days,Right-hand bat,,,"October 20, 1978, Delhi ",,,,Virender Sehwag,Kings XI Punjab,Right-arm,offbreak
S Dhawan,Opening batsman,"India,",30 years 331 days,Left-hand bat,,,"December 5, 1985, Delhi ",,,,Shikhar Dhawan,Sunrisers Hyderabad,Right-arm,offbreak
