batsman,non striker,batting,fielding
PA Reddy,PA Patel,Sunrisers Hyderabad,Delhi Daredevils
P Negi,MS Dhoni,Chennai Super Kings,Mumbai Indians
KA Pollard,RG Sharma,Mumbai Indians,Chennai Super Kings
DA Miller,DJ Hussey,Kings XI Punjab,Delhi Daredevils
P Kumar,DJ Hussey,Kings XI Punjab,Delhi Daredevils
RV Uthappa,JD Ryder,Pune Warriors,Chennai Super Kings
SC Ganguly,JD Ryder,Pune Warriors,Chennai Super Kings
Bipul Sharma,S Dhawan,Sunrisers Hyderabad,Rising Pune Supergiants
S Dhawan,EJG Morgan,Sunrisers Hyderabad,Chennai Super Kings
F du Plessis,MS Dhoni,Chennai Super Kings,Sunrisers Hyderabad
TG Southee,KH Pandya,Mumbai Indians,Gujarat Lions
CJ Anderson,RG Sharma,Mumbai Indians,Chennai Super Kings
JP Duminy,MA Agarwal,Delhi Daredevils,Kings XI Punjab
MK Pandey,RN ten Doeschate,Kolkata Knight Riders,Sunrisers Hyderabad
EJG Morgan,MC Henriques,Sunrisers Hyderabad,Kolkata Knight Riders
Bipul Sharma,MC Henriques,Sunrisers Hyderabad,Kolkata Knight Riders
R Sharma,NL McCullum,Pune Warriors,Chennai Super Kings
JE Taylor,NL McCullum,Pune Warriors,Chennai Super Kings
MR Marsh,AD Mathews,Pune Warriors,Sunrisers Hyderabad
B Kumar,NV Ojha,Sunrisers Hyderabad,Delhi Daredevils
KD Karthik,BB McCullum,Gujarat Lions,Sunrisers Hyderabad
S Dhawan,DA Warner,Sunrisers Hyderabad,Gujarat Lions
VVS Laxman,HH Gibbs,Deccan Chargers,Chennai Super Kings
HH Gibbs,A Symonds,Deccan Chargers,Chennai Super Kings
A Symonds,RG Sharma,Deccan Chargers,Chennai Super Kings
S Dhawan,PA Patel,Sunrisers Hyderabad,Chennai Super Kings
A Mishra,KV Sharma,Sunrisers Hyderabad,Chennai Super Kings
DA Miller,WP Saha,Kings XI Punjab,Chennai Super Kings
SK Raina,BB McCullum,Chennai Super Kings,Kings XI Punjab
BB McCullum,RA Jadeja,Chennai Super Kings,Kings XI Punjab
AM Nayar,JP Duminy,Mumbai Indians,Kolkata Knight Riders
RT Ponting,Mohammad Hafeez,Kolkata Knight Riders,Mumbai Indians
R Vinay Kumar,B Akhil,Royal Challengers Bangalore,Delhi Daredevils
SE Marsh,Mandeep Singh,Kings XI Punjab,Chennai Super Kings
Bipul Sharma,N Saini,Kings XI Punjab,Chennai Super Kings
MS Dhoni,RA Jadeja,Chennai Super Kings,Kings XI Punjab
TL Suman,RV Uthappa,Pune Warriors,Royal Challengers Bangalore
M Manhas,MS Dhoni,Chennai Super Kings,Mumbai Indians
C Munro,YK Pathan,Kolkata Knight Riders,Mumbai Indians
PA Patel,RG Sharma,Mumbai Indians,Kolkata Knight Riders
Kamran Akmal,SR Watson,Rajasthan Royals,Chennai Super Kings
YK Pathan,SK Warne,Rajasthan Royals,Chennai Super Kings
MJ Clarke,SC Ganguly,Pune Warriors,Deccan Chargers
ST Jayasuriya,RV Uthappa,Mumbai Indians,Royal Challengers Bangalore
V Kohli,AB de Villiers,Royal Challengers Bangalore,Delhi Daredevils
GJ Bailey,WP Saha,Kings XI Punjab,Mumbai Indians
AR Patel,WP Saha,Kings XI Punjab,Mumbai Indians
WP Saha,MG Johnson,Kings XI Punjab,Mumbai Indians
MF Maharoof,VY Mahesh,Delhi Daredevils,Kings XI Punjab
SM Katich,Yuvraj Singh,Kings XI Punjab,Delhi Daredevils
KD Karthik,AB de Villiers,Delhi Daredevils,Royal Challengers Bangalore
AB de Villiers,KM Jadhav,Delhi Daredevils,Royal Challengers Bangalore
R Dravid,RV Uthappa,Royal Challengers Bangalore,Delhi Daredevils
EJG Morgan,V Kohli,Royal Challengers Bangalore,Delhi Daredevils
R Vinay Kumar,V Kohli,Royal Challengers Bangalore,Delhi Daredevils
DS Kulkarni,SB Jakati,Gujarat Lions,Royal Challengers Bangalore
R Ashwin,M Manhas,Chennai Super Kings,Delhi Daredevils
SK Raina,JA Morkel,Chennai Super Kings,Delhi Daredevils
AB de Villiers,Mandeep Singh,Royal Challengers Bangalore,Rajasthan Royals
STR Binny,DJ Hooda,Rajasthan Royals,Royal Challengers Bangalore
DJ Muthuswami,Imran Tahir,Delhi Daredevils,Royal Challengers Bangalore
S Dhawan,G Gambhir,Delhi Daredevils,Rajasthan Royals
YK Pathan,GC Smith,Rajasthan Royals,Delhi Daredevils
M Kaif,GC Smith,Rajasthan Royals,Delhi Daredevils
SR Watson,NK Patel,Rajasthan Royals,Delhi Daredevils
OA Shah,A Chandila,Rajasthan Royals,Deccan Chargers
HV Patel,SN Khan,Royal Challengers Bangalore,Chennai Super Kings
P Negi,MS Dhoni,Chennai Super Kings,Royal Challengers Bangalore
RG Sharma,SB Bangar,Deccan Chargers,Rajasthan Royals
RP Singh,Y Venugopal Rao,Deccan Chargers,Rajasthan Royals
S Dhawan,B Chipli,Deccan Chargers,Kolkata Knight Riders
PP Ojha,RP Singh,Deccan Chargers,Kolkata Knight Riders
EJG Morgan,MK Tiwary,Kolkata Knight Riders,Kochi Tuskers Kerala
R Bhatia,Iqbal Abdulla,Kolkata Knight Riders,Kochi Tuskers Kerala
SR Tendulkar,RT Ponting,Mumbai Indians,Royal Challengers Bangalore
RJ Peterson,Harbhajan Singh,Mumbai Indians,Delhi Daredevils
S Nadeem,UT Yadav,Delhi Daredevils,Kolkata Knight Riders
S Dhawan,AM Nayar,Mumbai Indians,Royal Challengers Bangalore
R Dravid,LRPL Taylor,Royal Challengers Bangalore,Mumbai Indians
OA Shah,AM Rahane,Rajasthan Royals,Delhi Daredevils
SR Watson,FY Fazal,Rajasthan Royals,Mumbai Indians
FY Fazal,AA Jhunjhunwala,Rajasthan Royals,Mumbai Indians
AA Jhunjhunwala,AC Voges,Rajasthan Royals,Mumbai Indians
