Team Name,Year,Over,Total Runs Scored,Total Wickets taken,Total Bowls bowled,Run rate,Wicket rate
Chennai Super Kings,2015,20,121,10,85,8.5411764706,0.7058823529
Chennai Super Kings,2014,14,142,1,97,8.7835051546,0.0618556701
Kings XI Punjab,2010,8,109,3,87,7.5172413793,0.2068965517
Rajasthan Royals,2009,15,102,4,82,7.4634146341,0.2926829268
Kolkata Knight Riders,2009,4,103,2,81,7.6296296296,0.1481481481
Delhi Daredevils,2013,7,99,4,99,6,0.2424242424
Kings XI Punjab,2015,6,111,6,90,7.4,0.4
Mumbai Indians,2012,9,113,10,106,6.3962264151,0.5660377358
Mumbai Indians,2013,17,201,6,120,10.05,0.3
Pune Warriors,2012,4,132,7,100,7.92,0.42
Royal Challengers Bangalore,2014,20,127,8,71,10.7323943662,0.676056338
Delhi Daredevils,2016,11,92,2,86,6.4186046512,0.1395348837
Mumbai Indians,2009,3,82,3,86,5.7209302326,0.2093023256
Kolkata Knight Riders,2013,15,94,5,99,5.696969697,0.303030303
Kings XI Punjab,2016,19,104,8,74,8.4324324324,0.6486486486
Royal Challengers Bangalore,2009,13,106,4,97,6.5567010309,0.2474226804
Delhi Daredevils,2009,12,94,2,85,6.6352941176,0.1411764706
Delhi Daredevils,2010,18,119,2,76,9.3947368421,0.1578947368
Chennai Super Kings,2009,13,101,7,86,7.0465116279,0.488372093
Kings XI Punjab,2009,7,84,7,86,5.8604651163,0.488372093
Rajasthan Royals,2008,14,147,3,98,9,0.1836734694
Kolkata Knight Riders,2008,5,91,5,79,6.9113924051,0.3797468354
Delhi Daredevils,2014,8,96,2,86,6.6976744186,0.1395348837
Chennai Super Kings,2013,7,105,4,111,5.6756756757,0.2162162162
Sunrisers Hyderabad,2014,12,91,4,79,6.9113924051,0.3037974684
Kings XI Punjab,2013,13,129,2,94,8.2340425532,0.1276595745
Royal Challengers Bangalore,2014,9,97,5,85,6.8470588235,0.3529411765
Royal Challengers Bangalore,2015,17,122,8,70,10.4571428571,0.6857142857
Kings XI Punjab,2016,5,134,3,90,8.9333333333,0.2
Deccan Chargers,2008,11,139,1,87,9.5862068966,0.0689655172
Kochi Tuskers Kerala,2011,14,86,5,85,6.0705882353,0.3529411765
Mumbai Indians,2014,4,106,3,97,6.5567010309,0.1855670103
Kings XI Punjab,2016,10,94,2,84,6.7142857143,0.1428571429
Delhi Daredevils,2010,11,96,4,87,6.6206896552,0.275862069
Chennai Super Kings,2008,16,116,4,86,8.0930232558,0.2790697674
Gujarat Lions,2016,11,117,5,97,7.2371134021,0.3092783505
Kings XI Punjab,2008,10,110,1,85,7.7647058824,0.0705882353
Pune Warriors,2011,14,100,4,76,7.8947368421,0.3157894737
Rajasthan Royals,2011,13,105,3,79,7.9746835443,0.2278481013
Kolkata Knight Riders,2015,6,115,4,83,8.313253012,0.2891566265
Delhi Daredevils,2015,1,64,3,92,4.1739130435,0.1956521739
Chennai Super Kings,2012,6,153,5,112,8.1964285714,0.2678571429
Sunrisers Hyderabad,2015,9,107,3,88,7.2954545455,0.2045454545
Kings XI Punjab,2012,12,117,6,98,7.1632653061,0.3673469388
Kolkata Knight Riders,2011,16,98,4,76,7.7368421053,0.3157894737
Royal Challengers Bangalore,2015,12,110,5,67,9.8507462687,0.447761194
Royal Challengers Bangalore,2012,18,168,8,95,10.6105263158,0.5052631579
Mumbai Indians,2016,5,89,5,87,6.1379310345,0.3448275862
Royal Challengers Bangalore,2016,3,115,1,99,6.9696969697,0.0606060606
Kings XI Punjab,2015,8,99,5,87,6.8275862069,0.3448275862
Delhi Daredevils,2011,6,115,4,93,7.4193548387,0.2580645161
Chennai Super Kings,2011,15,152,4,98,9.306122449,0.2448979592
Rajasthan Royals,2010,20,106,14,67,9.4925373134,1.2537313433
Kolkata Knight Riders,2014,7,137,4,100,8.22,0.24
Delhi Daredevils,2008,2,126,5,91,8.3076923077,0.3296703297
Chennai Super Kings,2015,5,161,4,105,9.2,0.2285714286
Kings XI Punjab,2011,11,130,7,90,8.6666666667,0.4666666667
Kolkata Knight Riders,2010,13,147,2,92,9.5869565217,0.1304347826
Royal Challengers Bangalore,2012,11,110,2,93,7.0967741935,0.1290322581
Mumbai Indians,2012,2,94,7,111,5.0810810811,0.3783783784
Pune Warriors,2013,15,109,2,99,6.6060606061,0.1212121212
Rajasthan Royals,2013,2,112,2,110,6.1090909091,0.1090909091
Chennai Super Kings,2010,18,138,6,92,9,0.3913043478
Kolkata Knight Riders,2016,6,105,2,86,7.3255813953,0.1395348837
Rising Pune Supergiants,2016,13,91,2,72,7.5833333333,0.1666666667
Rajasthan Royals,2010,11,90,7,87,6.2068965517,0.4827586207
Kolkata Knight Riders,2013,8,91,9,97,5.6288659794,0.5567010309
Royal Challengers Bangalore,2009,20,123,11,69,10.6956521739,0.9565217391
Delhi Daredevils,2009,3,131,5,92,8.5434782609,0.3260869565
Chennai Super Kings,2014,4,172,2,100,10.32,0.12
Sunrisers Hyderabad,2013,15,122,6,98,7.4693877551,0.3673469388
Kings XI Punjab,2010,10,125,1,85,8.8235294118,0.0705882353
Kolkata Knight Riders,2009,14,75,4,76,5.9210526316,0.3157894737
Kolkata Knight Riders,2008,20,115,6,55,12.5454545455,0.6545454545
Royal Challengers Bangalore,2013,14,133,6,92,8.6739130435,0.3913043478
Chennai Super Kings,2013,16,164,6,98,10.0408163265,0.3673469388
Sunrisers Hyderabad,2014,1,102,2,89,6.8764044944,0.1348314607
Mumbai Indians,2013,15,166,3,114,8.7368421053,0.1578947368
Pune Warriors,2012,14,107,3,97,6.618556701,0.1855670103
Rajasthan Royals,2012,3,134,0,97,8.2886597938,0
Royal Challengers Bangalore,2014,2,56,6,85,3.9529411765,0.4235294118
Chennai Super Kings,2010,9,102,7,97,6.3092783505,0.4329896907
Deccan Chargers,2008,18,156,11,79,11.8481012658,0.835443038
Kochi Tuskers Kerala,2011,5,97,4,87,6.6896551724,0.275862069
Kolkata Knight Riders,2012,9,123,2,105,7.0285714286,0.1142857143
Delhi Daredevils,2010,4,112,11,88,7.6363636364,0.75
Chennai Super Kings,2009,3,121,2,86,8.4418604651,0.1395348837
Gujarat Lions,2016,2,108,6,101,6.4158415842,0.3564356436
Deccan Chargers,2012,4,125,4,96,7.8125,0.25
Mumbai Indians,2010,11,90,6,97,5.5670103093,0.3711340206
Kings XI Punjab,2009,9,98,4,85,6.9176470588,0.2823529412
Kings XI Punjab,2008,17,125,5,83,9.0361445783,0.3614457831
Pune Warriors,2011,7,62,2,78,4.7692307692,0.1538461538
Kolkata Knight Riders,2008,11,93,1,79,7.0632911392,0.0759493671
Kolkata Knight Riders,2015,19,92,2,53,10.4150943396,0.2264150943
Royal Challengers Bangalore,2010,13,141,1,92,9.1956521739,0.0652173913
Chennai Super Kings,2012,13,120,5,109,6.6055045872,0.2752293578
Sunrisers Hyderabad,2015,4,122,3,87,8.4137931034,0.2068965517
Mumbai Indians,2013,16,151,8,119,7.6134453782,0.4033613445
Kings XI Punjab,2012,3,98,5,100,5.88,0.3
Rajasthan Royals,2015,4,121,2,79,9.1898734177,0.1518987342
Kolkata Knight Riders,2011,5,96,4,90,6.4,0.2666666667
Royal Challengers Bangalore,2015,3,166,5,94,10.5957446809,0.3191489362
Delhi Daredevils,2012,20,81,10,51,9.5294117647,1.1764705882
Mumbai Indians,2016,14,115,3,86,8.023255814,0.2093023256
Sunrisers Hyderabad,2016,8,119,2,105,6.8,0.1142857143
Royal Challengers Bangalore,2016,12,118,6,98,7.2244897959,0.3673469388
Delhi Daredevils,2016,1,94,3,90,6.2666666667,0.2
Delhi Daredevils,2011,13,122,3,80,9.15,0.225
Chennai Super Kings,2008,2,137,1,101,8.1386138614,0.0594059406
Deccan Chargers,2011,3,108,4,85,7.6235294118,0.2823529412
Kings XI Punjab,2014,7,134,4,106,7.5849056604,0.2264150943
Mumbai Indians,2011,10,103,3,99,6.2424242424,0.1818181818
Kings XI Punjab,2008,8,134,3,94,8.5531914894,0.1914893617
Kolkata Knight Riders,2015,12,80,4,73,6.5753424658,0.3287671233
Kolkata Knight Riders,2014,18,151,5,89,10.1797752809,0.3370786517
Royal Challengers Bangalore,2011,16,143,2,89,9.6404494382,0.1348314607
Chennai Super Kings,2015,14,134,4,104,7.7307692308,0.2307692308
Kings XI Punjab,2015,16,125,2,75,10,0.16
Kings XI Punjab,2011,4,98,6,88,6.6818181818,0.4090909091
Rajasthan Royals,2014,5,98,2,89,6.606741573,0.1348314607
Kolkata Knight Riders,2010,8,82,1,87,5.6551724138,0.0689655172
Royal Challengers Bangalore,2012,4,115,3,93,7.4193548387,0.1935483871
Delhi Daredevils,2012,9,163,3,111,8.8108108108,0.1621621622
Delhi Daredevils,2013,17,146,10,104,8.4230769231,0.5769230769
Mumbai Indians,2015,8,101,1,99,6.1212121212,0.0606060606
Pune Warriors,2013,8,103,3,99,6.2424242424,0.1818181818
Chennai Super Kings,2011,1,61,5,101,3.6237623762,0.297029703
Deccan Chargers,2010,2,169,3,106,9.5660377358,0.1698113208
Kolkata Knight Riders,2016,13,107,1,85,7.5529411765,0.0705882353
Mumbai Indians,2008,9,86,4,83,6.2168674699,0.2891566265
Mumbai Indians,2009,17,113,3,75,9.04,0.24
Rajasthan Royals,2010,2,94,2,89,6.3370786517,0.1348314607
Kolkata Knight Riders,2014,9,127,3,97,7.8556701031,0.1855670103
Kolkata Knight Riders,2013,17,147,5,100,8.82,0.3
Royal Challengers Bangalore,2008,15,101,5,87,6.9655172414,0.3448275862
Chennai Super Kings,2014,11,116,6,97,7.175257732,0.3711340206
Sunrisers Hyderabad,2013,6,131,4,107,7.3457943925,0.2242990654
Kings XI Punjab,2010,1,93,3,92,6.0652173913,0.1956521739
Rajasthan Royals,2014,20,116,8,63,11.0476190476,0.7619047619
Rajasthan Royals,2009,6,91,3,80,6.825,0.225
Kolkata Knight Riders,2009,7,60,1,81,4.4444444444,0.0740740741
Royal Challengers Bangalore,2013,5,172,4,98,10.5306122449,0.2448979592
Delhi Daredevils,2013,12,115,5,100,6.9,0.3
Delhi Daredevils,2014,18,154,5,81,11.4074074074,0.3703703704
Kings XI Punjab,2016,15,115,4,82,8.4146341463,0.2926829268
Kolkata Knight Riders,2016,12,106,2,87,7.3103448276,0.1379310345
Pune Warriors,2012,5,114,3,100,6.84,0.18
Kolkata Knight Riders,2012,10,127,3,104,7.3269230769,0.1730769231
Deccan Chargers,2009,1,131,3,100,7.86,0.18
Mumbai Indians,2009,16,107,6,85,7.5529411765,0.4235294118
Mumbai Indians,2014,18,101,8,88,6.8863636364,0.5454545455
Deccan Chargers,2010,15,127,5,103,7.3980582524,0.2912621359
Kolkata Knight Riders,2013,10,107,1,97,6.618556701,0.0618556701
Royal Challengers Bangalore,2009,2,103,5,104,5.9423076923,0.2884615385
Chennai Super Kings,2014,18,156,3,97,9.6494845361,0.1855670103
