partner_name,team,partnership,winner,loser
AB de Villiers- V Kohli,team_Royal Challengers Bangalore,12,winner_Royal Challengers Bangalore,loser_Delhi Daredevils
SS Tiwary- V Kohli,team_Royal Challengers Bangalore,1,winner_Royal Challengers Bangalore,loser_Delhi Daredevils
CA Pujara- SS Tiwary,team_Royal Challengers Bangalore,11,winner_Royal Challengers Bangalore,loser_Delhi Daredevils
DL Vettori- SS Tiwary,team_Royal Challengers Bangalore,32,winner_Royal Challengers Bangalore,loser_Delhi Daredevils
A Mithun- DL Vettori,team_Royal Challengers Bangalore,0,winner_Royal Challengers Bangalore,loser_Delhi Daredevils
DL Vettori- J Syed Mohammad,team_Royal Challengers Bangalore,22,winner_Royal Challengers Bangalore,loser_Delhi Daredevils
M Vijay- MEK Hussey,team_Chennai Super Kings,86,winner_Chennai Super Kings,loser_Pune Warriors
MEK Hussey- SK Raina,team_Chennai Super Kings,2,winner_Chennai Super Kings,loser_Pune Warriors
MEK Hussey- MS Dhoni,team_Chennai Super Kings,52,winner_Chennai Super Kings,loser_Pune Warriors
JA Morkel- MEK Hussey,team_Chennai Super Kings,4,winner_Chennai Super Kings,loser_Pune Warriors
JA Morkel- S Badrinath,team_Chennai Super Kings,1,winner_Chennai Super Kings,loser_Pune Warriors
S Anirudha- S Badrinath,team_Chennai Super Kings,19,winner_Chennai Super Kings,loser_Pune Warriors
JD Ryder- MD Mishra,team_Pune Warriors,38,winner_Chennai Super Kings,loser_Pune Warriors
JD Ryder- MK Pandey,team_Pune Warriors,8,winner_Chennai Super Kings,loser_Pune Warriors
MK Pandey- RV Uthappa,team_Pune Warriors,13,winner_Chennai Super Kings,loser_Pune Warriors
RV Uthappa- Yuvraj Singh,team_Pune Warriors,0,winner_Chennai Super Kings,loser_Pune Warriors
M Manhas- Yuvraj Singh,team_Pune Warriors,38,winner_Chennai Super Kings,loser_Pune Warriors
NL McCullum- Yuvraj Singh,team_Pune Warriors,31,winner_Chennai Super Kings,loser_Pune Warriors
NL McCullum- R Sharma,team_Pune Warriors,1,winner_Chennai Super Kings,loser_Pune Warriors
JE Taylor- NL McCullum,team_Pune Warriors,4,winner_Chennai Super Kings,loser_Pune Warriors
M Kartik- NL McCullum,team_Pune Warriors,0,winner_Chennai Super Kings,loser_Pune Warriors
AC Thomas- M Kartik,team_Pune Warriors,3,winner_Chennai Super Kings,loser_Pune Warriors
DPMD Jayawardene- VVS Laxman,team_Kochi Tuskers Kerala,29,winner_Rajasthan Royals,loser_Kochi Tuskers Kerala
DPMD Jayawardene- PA Patel,team_Kochi Tuskers Kerala,2,winner_Rajasthan Royals,loser_Kochi Tuskers Kerala
BJ Hodge- PA Patel,team_Kochi Tuskers Kerala,14,winner_Rajasthan Royals,loser_Kochi Tuskers Kerala
PA Patel- RA Jadeja,team_Kochi Tuskers Kerala,48,winner_Rajasthan Royals,loser_Kochi Tuskers Kerala
PA Patel- RV Gomez,team_Kochi Tuskers Kerala,0,winner_Rajasthan Royals,loser_Kochi Tuskers Kerala
NLTC Perera- RV Gomez,team_Kochi Tuskers Kerala,0,winner_Rajasthan Royals,loser_Kochi Tuskers Kerala
KM Jadhav- NLTC Perera,team_Kochi Tuskers Kerala,2,winner_Rajasthan Royals,loser_Kochi Tuskers Kerala
