Batsman,Bowler,Zero,One,Two,Three,Four,Five,Six,Wicket,batting_style,bowling_arm,bowling_style
V Sehwag,L Balaji,8,11,0,0,4,0,2,1,Right-hand bat,Right-arm,medium-fast
V Sehwag,YS Chahal,2,6,2,0,0,0,0,2,Right-hand bat,Right-arm,legbreak
V Sehwag,A Kumble,7,1,0,0,2,0,1,0,Right-hand bat,Right-arm,legbreak
V Sehwag,Pankaj Singh,6,3,0,0,6,0,1,1,Right-hand bat,Right-arm,medium-fast
V Sehwag,Shakib Al Hasan,0,1,1,0,0,0,0,0,Right-hand bat,Left-arm,slow
V Sehwag,SL Malinga,18,13,0,0,7,0,0,1,Right-hand bat,Right-arm,fast
V Sehwag,DS Kulkarni,5,4,0,0,4,0,0,2,Right-hand bat,Right-arm,medium
V Sehwag,FH Edwards,1,2,0,0,2,0,0,0,Right-hand bat,Right-arm,fast
V Sehwag,M Muralitharan,7,7,0,0,3,0,0,1,Right-hand bat,Right-arm,offbreak
V Sehwag,DJG Sammy,0,0,0,0,0,0,0,1,Right-hand bat,Right-arm,medium-fast
V Sehwag,SW Tait,5,3,1,0,3,0,0,1,Right-hand bat,Right-arm,fast
V Sehwag,JR Hopes,1,1,0,0,0,0,0,0,Right-hand bat,Right-arm,medium
V Sehwag,Joginder Sharma,3,2,2,0,6,0,1,1,Right-hand bat,Right-arm,fast-medium
V Sehwag,R Ashwin,5,16,2,0,1,0,3,1,Right-hand bat,Right-arm,offbreak
V Sehwag,JD Ryder,0,2,2,0,3,0,2,1,Right-hand bat,Right-arm,medium
V Sehwag,MM Sharma,11,5,3,0,4,0,1,2,Right-hand bat,Right-arm,medium
V Sehwag,R Shukla,2,3,1,0,1,0,0,0,Right-hand bat,Right-arm,medium
V Sehwag,YK Pathan,2,0,0,0,1,0,1,0,Right-hand bat,Right-arm,offbreak
V Sehwag,DL Vettori,0,1,0,0,0,0,0,0,Right-hand bat,Left-arm,slow
V Sehwag,WPUJC Vaas,8,6,1,0,5,0,0,2,Right-hand bat,Left-arm,fast-medium
V Sehwag,MA Starc,11,2,0,0,2,0,0,0,Right-hand bat,Left-arm,fast
V Sehwag,AD Mathews,5,9,2,0,5,0,1,0,Right-hand bat,Right-arm,fast-medium
V Sehwag,I Sharma,13,7,0,0,2,0,0,1,Right-hand bat,Right-arm,fast-medium
V Sehwag,JD Unadkat,6,4,1,0,4,0,0,2,Right-hand bat,Left-arm,medium
V Sehwag,A Mishra,4,12,2,0,4,0,3,1,Right-hand bat,Right-arm,legbreak
V Sehwag,RA Jadeja,7,9,0,0,4,0,5,0,Right-hand bat,Left-arm,slow
V Sehwag,Harmeet Singh,10,3,0,0,1,0,1,2,Right-hand bat,Right-arm,medium
V Sehwag,DT Christian,3,7,1,0,5,0,0,0,Right-hand bat,Right-arm,fast-medium
V Sehwag,JP Faulkner,1,0,0,0,3,0,0,2,Right-hand bat,Left-arm,fast-medium
V Sehwag,A Mithun,0,0,0,0,0,0,1,1,Right-hand bat,Right-arm,medium
V Sehwag,Shahid Afridi,0,3,1,0,0,0,1,0,Right-hand bat,Right-arm,legbreak
V Sehwag,JP Duminy,2,2,0,0,0,0,2,2,Right-hand bat,Right-arm,offbreak
V Sehwag,DJ Hussey,0,0,0,0,0,0,3,1,Right-hand bat,Right-arm,offbreak
V Sehwag,SC Ganguly,1,7,1,0,2,0,1,0,Right-hand bat,Right-arm,medium
V Sehwag,DW Steyn,18,11,1,0,5,0,0,2,Right-hand bat,Right-arm,fast
V Sehwag,SM Pollock,1,1,0,0,3,0,2,0,Right-hand bat,Right-arm,fast-medium
V Sehwag,Sohail Tanvir,0,3,0,0,0,0,0,0,Right-hand bat,Left-arm,medium-fast
V Sehwag,M Kartik,2,9,0,0,3,0,1,1,Right-hand bat,Left-arm,slow
V Sehwag,VRV Singh,3,4,0,0,1,0,2,0,Right-hand bat,Right-arm,medium-fast
V Sehwag,P Suyal,4,2,0,0,2,0,0,0,Right-hand bat,Left-arm,medium
