op_player1,op_player2,op_team,op_partnership,op_winner,op_looser
AC Gilchrist,PC Valthaty,Kings XI Punjab,25,Delhi Daredevils,Kings XI Punjab
DA Warner,V Sehwag,Delhi Daredevils,5,Rajasthan Royals,Delhi Daredevils
AG Paunikar,R Dravid,Rajasthan Royals,26,Rajasthan Royals,Delhi Daredevils
CH Gayle,SC Ganguly,Kolkata Knight Riders,15,Kolkata Knight Riders,Deccan Chargers
AC Gilchrist,HH Gibbs,Deccan Chargers,31,Kolkata Knight Riders,Deccan Chargers
DPMD Jayawardene,V Sehwag,Delhi Daredevils,20,Delhi Daredevils,Pune Warriors
AJ Finch,RV Uthappa,Pune Warriors,76,Delhi Daredevils,Pune Warriors
AP Tare,RG Sharma,Mumbai Indians,10,Delhi Daredevils,Mumbai Indians
M Vijay,Q de Kock,Delhi Daredevils,34,Delhi Daredevils,Mumbai Indians
AJ Finch,S Dhawan,Sunrisers Hyderabad,21,Sunrisers Hyderabad,Mumbai Indians
BR Dunk,RG Sharma,Mumbai Indians,6,Sunrisers Hyderabad,Mumbai Indians
SR Watson,V Kohli,Royal Challengers Bangalore,8,Gujarat Lions,Royal Challengers Bangalore
BB McCullum,DR Smith,Gujarat Lions,47,Gujarat Lions,Royal Challengers Bangalore
DA Warner,V Sehwag,Delhi Daredevils,0,Sunrisers Hyderabad,Delhi Daredevils
PA Patel,PA Reddy,Sunrisers Hyderabad,2,Sunrisers Hyderabad,Delhi Daredevils
BB McCullum,DR Smith,Chennai Super Kings,20,Chennai Super Kings,Delhi Daredevils
CM Gautam,MA Agarwal,Delhi Daredevils,15,Chennai Super Kings,Delhi Daredevils
ML Hayden,PA Patel,Chennai Super Kings,26,Chennai Super Kings,Kings XI Punjab
JR Hopes,K Goel,Kings XI Punjab,56,Chennai Super Kings,Kings XI Punjab
S Dhawan,SR Tendulkar,Mumbai Indians,24,Mumbai Indians,Deccan Chargers
AC Gilchrist,MD Mishra,Deccan Chargers,0,Mumbai Indians,Deccan Chargers
DB Ravi Teja,S Dhawan,Deccan Chargers,19,Delhi Daredevils,Deccan Chargers
AJ Finch,V Sehwag,Delhi Daredevils,0,Delhi Daredevils,Deccan Chargers
AC Gilchrist,PC Valthaty,Kings XI Punjab,22,Kings XI Punjab,Mumbai Indians
AC Blizzard,SR Tendulkar,Mumbai Indians,19,Kings XI Punjab,Mumbai Indians
DA Warner,V Sehwag,Delhi Daredevils,40,Kolkata Knight Riders,Delhi Daredevils
