 player1,player2,partner-name,team,partnership,winner,looser
KK Nair,RR Pant,KK Nair- RR Pant,Delhi Daredevils,73,Delhi Daredevils,Sunrisers Hyderabad
JP Duminy,KK Nair,JP Duminy- KK Nair,Delhi Daredevils,35,Delhi Daredevils,Sunrisers Hyderabad
CR Brathwaite,KK Nair,CR Brathwaite- KK Nair,Delhi Daredevils,26,Delhi Daredevils,Sunrisers Hyderabad
KK Nair,SV Samson,KK Nair- SV Samson,Delhi Daredevils,18,Delhi Daredevils,Sunrisers Hyderabad
G Gambhir,RV Uthappa,G Gambhir- RV Uthappa,Kolkata Knight Riders,41,Gujarat Lions,Kolkata Knight Riders
MK Pandey,RV Uthappa,MK Pandey- RV Uthappa,Kolkata Knight Riders,11,Gujarat Lions,Kolkata Knight Riders
PP Chawla,RV Uthappa,PP Chawla- RV Uthappa,Kolkata Knight Riders,10,Gujarat Lions,Kolkata Knight Riders
PP Chawla,YK Pathan,PP Chawla- YK Pathan,Kolkata Knight Riders,11,Gujarat Lions,Kolkata Knight Riders
Shakib Al Hasan,YK Pathan,Shakib Al Hasan- YK Pathan,Kolkata Knight Riders,6,Gujarat Lions,Kolkata Knight Riders
SA Yadav,YK Pathan,SA Yadav- YK Pathan,Kolkata Knight Riders,41,Gujarat Lions,Kolkata Knight Riders
JO Holder,YK Pathan,JO Holder- YK Pathan,Kolkata Knight Riders,18,Gujarat Lions,Kolkata Knight Riders
JO Holder,SP Narine,JO Holder- SP Narine,Kolkata Knight Riders,2,Gujarat Lions,Kolkata Knight Riders
M Morkel,SP Narine,M Morkel- SP Narine,Kolkata Knight Riders,2,Gujarat Lions,Kolkata Knight Riders
BB McCullum,DR Smith,BB McCullum- DR Smith,Gujarat Lions,2,Gujarat Lions,Kolkata Knight Riders
BB McCullum,SK Raina,BB McCullum- SK Raina,Gujarat Lions,18,Gujarat Lions,Kolkata Knight Riders
KD Karthik,SK Raina,KD Karthik- SK Raina,Gujarat Lions,20,Gujarat Lions,Kolkata Knight Riders
AJ Finch,SK Raina,AJ Finch- SK Raina,Gujarat Lions,59,Gujarat Lions,Kolkata Knight Riders
RA Jadeja,SK Raina,RA Jadeja- SK Raina,Gujarat Lions,28,Gujarat Lions,Kolkata Knight Riders
CH Gayle,V Kohli,CH Gayle- V Kohli,Royal Challengers Bangalore,175,Royal Challengers Bangalore,Kings XI Punjab
AB de Villiers,V Kohli,AB de Villiers- V Kohli,Royal Challengers Bangalore,7,Royal Challengers Bangalore,Kings XI Punjab
KL Rahul,V Kohli,KL Rahul- V Kohli,Royal Challengers Bangalore,45,Royal Challengers Bangalore,Kings XI Punjab
KL Rahul,SR Watson,KL Rahul- SR Watson,Royal Challengers Bangalore,12,Royal Challengers Bangalore,Kings XI Punjab
HM Amla,M Vijay,HM Amla- M Vijay,Kings XI Punjab,29,Royal Challengers Bangalore,Kings XI Punjab
HM Amla,WP Saha,HM Amla- WP Saha,Kings XI Punjab,26,Royal Challengers Bangalore,Kings XI Punjab
DA Miller,HM Amla,DA Miller- HM Amla,Kings XI Punjab,10,Royal Challengers Bangalore,Kings XI Punjab
DA Miller,Gurkeerat Singh,DA Miller- Gurkeerat Singh,Kings XI Punjab,1,Royal Challengers Bangalore,Kings XI Punjab
AR Patel,Gurkeerat Singh,AR Patel- Gurkeerat Singh,Kings XI Punjab,23,Royal Challengers Bangalore,Kings XI Punjab
F Behardien,Gurkeerat Singh,F Behardien- Gurkeerat Singh,Kings XI Punjab,2,Royal Challengers Bangalore,Kings XI Punjab
Gurkeerat Singh,KJ Abbott,Gurkeerat Singh- KJ Abbott,Kings XI Punjab,1,Royal Challengers Bangalore,Kings XI Punjab
Gurkeerat Singh,MM Sharma,Gurkeerat Singh- MM Sharma,Kings XI Punjab,16,Royal Challengers Bangalore,Kings XI Punjab
KC Cariappa,MM Sharma,KC Cariappa- MM Sharma,Kings XI Punjab,9,Royal Challengers Bangalore,Kings XI Punjab
KC Cariappa,Sandeep Sharma,KC Cariappa- Sandeep Sharma,Kings XI Punjab,15,Royal Challengers Bangalore,Kings XI Punjab
Q de Kock,SS Iyer,Q de Kock- SS Iyer,Delhi Daredevils,19,Rising Pune Supergiants,Delhi Daredevils
KK Nair,SS Iyer,KK Nair- SS Iyer,Delhi Daredevils,21,Rising Pune Supergiants,Delhi Daredevils
KK Nair,SV Samson,KK Nair- SV Samson,Delhi Daredevils,24,Rising Pune Supergiants,Delhi Daredevils
KK Nair,RR Pant,KK Nair- RR Pant,Delhi Daredevils,13,Rising Pune Supergiants,Delhi Daredevils
JP Duminy,KK Nair,JP Duminy- KK Nair,Delhi Daredevils,8,Rising Pune Supergiants,Delhi Daredevils
CH Morris,JP Duminy,CH Morris- JP Duminy,Delhi Daredevils,23,Rising Pune Supergiants,Delhi Daredevils
CH Morris,NM Coulter-Nile,CH Morris- NM Coulter-Nile,Delhi Daredevils,28,Rising Pune Supergiants,Delhi Daredevils
AM Rahane,UT Khawaja,AM Rahane- UT Khawaja,Rising Pune Supergiants,59,Rising Pune Supergiants,Delhi Daredevils
