 player1,player2,partner-name,team,partnership,winner,looser
DJ Hussey,KD Karthik,DJ Hussey- KD Karthik,Kings XI Punjab,1,Kings XI Punjab,Mumbai Indians
KD Karthik,Mandeep Singh,KD Karthik- Mandeep Singh,Kings XI Punjab,16,Kings XI Punjab,Mumbai Indians
Bipul Sharma,KD Karthik,Bipul Sharma- KD Karthik,Kings XI Punjab,3,Kings XI Punjab,Mumbai Indians
Bipul Sharma,RJ Harris,Bipul Sharma- RJ Harris,Kings XI Punjab,7,Kings XI Punjab,Mumbai Indians
Bipul Sharma,P Kumar,Bipul Sharma- P Kumar,Kings XI Punjab,2,Kings XI Punjab,Mumbai Indians
Bipul Sharma,SJ Srivastava,Bipul Sharma- SJ Srivastava,Kings XI Punjab,6,Kings XI Punjab,Mumbai Indians
AC Blizzard,SR Tendulkar,AC Blizzard- SR Tendulkar,Mumbai Indians,25,Kings XI Punjab,Mumbai Indians
AC Blizzard,RG Sharma,AC Blizzard- RG Sharma,Mumbai Indians,8,Kings XI Punjab,Mumbai Indians
A Symonds,AC Blizzard,A Symonds- AC Blizzard,Mumbai Indians,0,Kings XI Punjab,Mumbai Indians
A Symonds,AT Rayudu,A Symonds- AT Rayudu,Mumbai Indians,17,Kings XI Punjab,Mumbai Indians
AT Rayudu,TL Suman,AT Rayudu- TL Suman,Mumbai Indians,10,Kings XI Punjab,Mumbai Indians
KA Pollard,TL Suman,KA Pollard- TL Suman,Mumbai Indians,1,Kings XI Punjab,Mumbai Indians
Harbhajan Singh,KA Pollard,Harbhajan Singh- KA Pollard,Mumbai Indians,14,Kings XI Punjab,Mumbai Indians
DS Kulkarni,KA Pollard,DS Kulkarni- KA Pollard,Mumbai Indians,18,Kings XI Punjab,Mumbai Indians
DS Kulkarni,SL Malinga,DS Kulkarni- SL Malinga,Mumbai Indians,0,Kings XI Punjab,Mumbai Indians
MM Patel,SL Malinga,MM Patel- SL Malinga,Mumbai Indians,0,Kings XI Punjab,Mumbai Indians
DB Ravi Teja,S Dhawan,DB Ravi Teja- S Dhawan,Deccan Chargers,51,Pune Warriors,Deccan Chargers
DB Ravi Teja,KC Sangakkara,DB Ravi Teja- KC Sangakkara,Deccan Chargers,5,Pune Warriors,Deccan Chargers
JP Duminy,KC Sangakkara,JP Duminy- KC Sangakkara,Deccan Chargers,20,Pune Warriors,Deccan Chargers
DT Christian,JP Duminy,DT Christian- JP Duminy,Deccan Chargers,22,Pune Warriors,Deccan Chargers
B Chipli,JP Duminy,B Chipli- JP Duminy,Deccan Chargers,21,Pune Warriors,Deccan Chargers
B Chipli,S Sohal,B Chipli- S Sohal,Deccan Chargers,5,Pune Warriors,Deccan Chargers
A Mishra,B Chipli,A Mishra- B Chipli,Deccan Chargers,0,Pune Warriors,Deccan Chargers
B Chipli,DW Steyn,B Chipli- DW Steyn,Deccan Chargers,11,Pune Warriors,Deccan Chargers
B Chipli,I Sharma,B Chipli- I Sharma,Deccan Chargers,1,Pune Warriors,Deccan Chargers
JD Ryder,MK Pandey,JD Ryder- MK Pandey,Pune Warriors,56,Pune Warriors,Deccan Chargers
MK Pandey,SC Ganguly,MK Pandey- SC Ganguly,Pune Warriors,38,Pune Warriors,Deccan Chargers
RV Uthappa,SC Ganguly,RV Uthappa- SC Ganguly,Pune Warriors,3,Pune Warriors,Deccan Chargers
SC Ganguly,Yuvraj Singh,SC Ganguly- Yuvraj Singh,Pune Warriors,23,Pune Warriors,Deccan Chargers
CJ Ferguson,SC Ganguly,CJ Ferguson- SC Ganguly,Pune Warriors,18,Pune Warriors,Deccan Chargers
M Vijay,MEK Hussey,M Vijay- MEK Hussey,Chennai Super Kings,95,Chennai Super Kings,Rajasthan Royals
M Vijay,SK Raina,M Vijay- SK Raina,Chennai Super Kings,58,Chennai Super Kings,Rajasthan Royals
MS Dhoni,SK Raina,MS Dhoni- SK Raina,Chennai Super Kings,44,Chennai Super Kings,Rajasthan Royals
JA Morkel,MS Dhoni,JA Morkel- MS Dhoni,Chennai Super Kings,17,Chennai Super Kings,Rajasthan Royals
R Dravid,SR Watson,R Dravid- SR Watson,Rajasthan Royals,44,Chennai Super Kings,Rajasthan Royals
AM Rahane,SR Watson,AM Rahane- SR Watson,Rajasthan Royals,21,Chennai Super Kings,Rajasthan Royals
AM Rahane,LRPL Taylor,AM Rahane- LRPL Taylor,Rajasthan Royals,15,Chennai Super Kings,Rajasthan Royals
AL Menaria,AM Rahane,AL Menaria- AM Rahane,Rajasthan Royals,7,Chennai Super Kings,Rajasthan Royals
AM Rahane,J Botha,AM Rahane- J Botha,Rajasthan Royals,35,Chennai Super Kings,Rajasthan Royals
AS Raut,J Botha,AS Raut- J Botha,Rajasthan Royals,24,Chennai Super Kings,Rajasthan Royals
DH Yagnik,J Botha,DH Yagnik- J Botha,Rajasthan Royals,3,Chennai Super Kings,Rajasthan Royals
A Singh,J Botha,A Singh- J Botha,Rajasthan Royals,1,Chennai Super Kings,Rajasthan Royals
A Singh,SK Trivedi,A Singh- SK Trivedi,Rajasthan Royals,0,Chennai Super Kings,Rajasthan Royals
SK Trivedi,SK Warne,SK Trivedi- SK Warne,Rajasthan Royals,0,Chennai Super Kings,Rajasthan Royals
AC Gilchrist,PC Valthaty,AC Gilchrist- PC Valthaty,Kings XI Punjab,25,Pune Warriors,Kings XI Punjab
PC Valthaty,SE Marsh,PC Valthaty- SE Marsh,Kings XI Punjab,25,Pune Warriors,Kings XI Punjab
KD Karthik,SE Marsh,KD Karthik- SE Marsh,Kings XI Punjab,30,Pune Warriors,Kings XI Punjab
DJ Hussey,KD Karthik,DJ Hussey- KD Karthik,Kings XI Punjab,14,Pune Warriors,Kings XI Punjab
KD Karthik,Mandeep Singh,KD Karthik- Mandeep Singh,Kings XI Punjab,6,Pune Warriors,Kings XI Punjab
Mandeep Singh,SD Chitnis,Mandeep Singh- SD Chitnis,Kings XI Punjab,10,Pune Warriors,Kings XI Punjab
RJ Harris,SD Chitnis,RJ Harris- SD Chitnis,Kings XI Punjab,4,Pune Warriors,Kings XI Punjab
P Kumar,SD Chitnis,P Kumar- SD Chitnis,Kings XI Punjab,2,Pune Warriors,Kings XI Punjab
P Kumar,SJ Srivastava,P Kumar- SJ Srivastava,Kings XI Punjab,3,Pune Warriors,Kings XI Punjab
JD Ryder,MK Pandey,JD Ryder- MK Pandey,Pune Warriors,35,Pune Warriors,Kings XI Punjab
MK Pandey,RV Uthappa,MK Pandey- RV Uthappa,Pune Warriors,37,Pune Warriors,Kings XI Punjab
MK Pandey,Yuvraj Singh,MK Pandey- Yuvraj Singh,Pune Warriors,15,Pune Warriors,Kings XI Punjab
CJ Ferguson,Yuvraj Singh,CJ Ferguson- Yuvraj Singh,Pune Warriors,32,Pune Warriors,Kings XI Punjab
AA Jhunjhunwala,CJ Ferguson,AA Jhunjhunwala- CJ Ferguson,Pune Warriors,1,Pune Warriors,Kings XI Punjab
CJ Ferguson,MR Marsh,CJ Ferguson- MR Marsh,Pune Warriors,3,Pune Warriors,Kings XI Punjab
BB McCullum,M Klinger,BB McCullum- M Klinger,Kochi Tuskers Kerala,46,Royal Challengers Bangalore,Kochi Tuskers Kerala
M Klinger,PA Patel,M Klinger- PA Patel,Kochi Tuskers Kerala,21,Royal Challengers Bangalore,Kochi Tuskers Kerala
DPMD Jayawardene,PA Patel,DPMD Jayawardene- PA Patel,Kochi Tuskers Kerala,8,Royal Challengers Bangalore,Kochi Tuskers Kerala
BJ Hodge,PA Patel,BJ Hodge- PA Patel,Kochi Tuskers Kerala,1,Royal Challengers Bangalore,Kochi Tuskers Kerala
BJ Hodge,RA Jadeja,BJ Hodge- RA Jadeja,Kochi Tuskers Kerala,16,Royal Challengers Bangalore,Kochi Tuskers Kerala
RA Jadeja,RV Gomez,RA Jadeja- RV Gomez,Kochi Tuskers Kerala,17,Royal Challengers Bangalore,Kochi Tuskers Kerala
R Vinay Kumar,RA Jadeja,R Vinay Kumar- RA Jadeja,Kochi Tuskers Kerala,9,Royal Challengers Bangalore,Kochi Tuskers Kerala
RA Jadeja,RR Powar,RA Jadeja- RR Powar,Kochi Tuskers Kerala,7,Royal Challengers Bangalore,Kochi Tuskers Kerala
RP Singh,RR Powar,RP Singh- RR Powar,Kochi Tuskers Kerala,0,Royal Challengers Bangalore,Kochi Tuskers Kerala
P Parameswaran,RR Powar,P Parameswaran- RR Powar,Kochi Tuskers Kerala,3,Royal Challengers Bangalore,Kochi Tuskers Kerala
CH Gayle,TM Dilshan,CH Gayle- TM Dilshan,Royal Challengers Bangalore,70,Royal Challengers Bangalore,Kochi Tuskers Kerala
TM Dilshan,V Kohli,TM Dilshan- V Kohli,Royal Challengers Bangalore,61,Royal Challengers Bangalore,Kochi Tuskers Kerala
AC Blizzard,SR Tendulkar,AC Blizzard- SR Tendulkar,Mumbai Indians,111,Mumbai Indians,Delhi Daredevils
AC Blizzard,AT Rayudu,AC Blizzard- AT Rayudu,Mumbai Indians,4,Mumbai Indians,Delhi Daredevils
AT Rayudu,RG Sharma,AT Rayudu- RG Sharma,Mumbai Indians,87,Mumbai Indians,Delhi Daredevils
AT Rayudu,KA Pollard,AT Rayudu- KA Pollard,Mumbai Indians,31,Mumbai Indians,Delhi Daredevils
A Symonds,KA Pollard,A Symonds- KA Pollard,Mumbai Indians,6,Mumbai Indians,Delhi Daredevils
DA Warner,V Sehwag,DA Warner- V Sehwag,Delhi Daredevils,9,Mumbai Indians,Delhi Daredevils
CA Ingram,V Sehwag,CA Ingram- V Sehwag,Delhi Daredevils,1,Mumbai Indians,Delhi Daredevils
NV Ojha,V Sehwag,NV Ojha- V Sehwag,Delhi Daredevils,0,Mumbai Indians,Delhi Daredevils
NV Ojha,Y Venugopal Rao,NV Ojha- Y Venugopal Rao,Delhi Daredevils,3,Mumbai Indians,Delhi Daredevils
JR Hopes,Y Venugopal Rao,JR Hopes- Y Venugopal Rao,Delhi Daredevils,87,Mumbai Indians,Delhi Daredevils
IK Pathan,JR Hopes,IK Pathan- JR Hopes,Delhi Daredevils,29,Mumbai Indians,Delhi Daredevils
IK Pathan,Y Nagar,IK Pathan- Y Nagar,Delhi Daredevils,0,Mumbai Indians,Delhi Daredevils
AB Agarkar,IK Pathan,AB Agarkar- IK Pathan,Delhi Daredevils,5,Mumbai Indians,Delhi Daredevils
AB Agarkar,M Morkel,AB Agarkar- M Morkel,Delhi Daredevils,18,Mumbai Indians,Delhi Daredevils
AB Agarkar,S Nadeem,AB Agarkar- S Nadeem,Delhi Daredevils,0,Mumbai Indians,Delhi Daredevils
M Vijay,MEK Hussey,M Vijay- MEK Hussey,Chennai Super Kings,8,Kolkata Knight Riders,Chennai Super Kings
MEK Hussey,SK Raina,MEK Hussey- SK Raina,Chennai Super Kings,7,Kolkata Knight Riders,Chennai Super Kings
MEK Hussey,S Badrinath,MEK Hussey- S Badrinath,Chennai Super Kings,34,Kolkata Knight Riders,Chennai Super Kings
JA Morkel,S Badrinath,JA Morkel- S Badrinath,Chennai Super Kings,65,Kolkata Knight Riders,Chennai Super Kings
EJG Morgan,JH Kallis,EJG Morgan- JH Kallis,Kolkata Knight Riders,74,Kolkata Knight Riders,Chennai Super Kings
G Gambhir,JH Kallis,G Gambhir- JH Kallis,Kolkata Knight Riders,24,Kolkata Knight Riders,Chennai Super Kings
JH Kallis,MK Tiwary,JH Kallis- MK Tiwary,Kolkata Knight Riders,28,Kolkata Knight Riders,Chennai Super Kings
CH Gayle,TM Dilshan,CH Gayle- TM Dilshan,Royal Challengers Bangalore,71,Royal Challengers Bangalore,Kings XI Punjab
CH Gayle,V Kohli,CH Gayle- V Kohli,Royal Challengers Bangalore,111,Royal Challengers Bangalore,Kings XI Punjab
AB de Villiers,V Kohli,AB de Villiers- V Kohli,Royal Challengers Bangalore,1,Royal Challengers Bangalore,Kings XI Punjab
AB de Villiers,SS Tiwary,AB de Villiers- SS Tiwary,Royal Challengers Bangalore,31,Royal Challengers Bangalore,Kings XI Punjab
AB de Villiers,AUK Pathan,AB de Villiers- AUK Pathan,Royal Challengers Bangalore,0,Royal Challengers Bangalore,Kings XI Punjab
AB de Villiers,M Kaif,AB de Villiers- M Kaif,Royal Challengers Bangalore,12,Royal Challengers Bangalore,Kings XI Punjab
A Mithun,AB de Villiers,A Mithun- AB de Villiers,Royal Challengers Bangalore,7,Royal Challengers Bangalore,Kings XI Punjab
AC Gilchrist,PC Valthaty,AC Gilchrist- PC Valthaty,Kings XI Punjab,7,Royal Challengers Bangalore,Kings XI Punjab
AM Nayar,PC Valthaty,AM Nayar- PC Valthaty,Kings XI Punjab,5,Royal Challengers Bangalore,Kings XI Punjab
PC Valthaty,SE Marsh,PC Valthaty- SE Marsh,Kings XI Punjab,23,Royal Challengers Bangalore,Kings XI Punjab
KD Karthik,SE Marsh,KD Karthik- SE Marsh,Kings XI Punjab,6,Royal Challengers Bangalore,Kings XI Punjab
KD Karthik,Sunny Singh,KD Karthik- Sunny Singh,Kings XI Punjab,16,Royal Challengers Bangalore,Kings XI Punjab
KD Karthik,R McLaren,KD Karthik- R McLaren,Kings XI Punjab,7,Royal Challengers Bangalore,Kings XI Punjab
PP Chawla,R McLaren,PP Chawla- R McLaren,Kings XI Punjab,10,Royal Challengers Bangalore,Kings XI Punjab
R McLaren,RJ Harris,R McLaren- RJ Harris,Kings XI Punjab,37,Royal Challengers Bangalore,Kings XI Punjab
P Kumar,RJ Harris,P Kumar- RJ Harris,Kings XI Punjab,1,Royal Challengers Bangalore,Kings XI Punjab
L Ablish,P Kumar,L Ablish- P Kumar,Kings XI Punjab,15,Royal Challengers Bangalore,Kings XI Punjab
DB Ravi Teja,S Dhawan,DB Ravi Teja- S Dhawan,Deccan Chargers,34,Delhi Daredevils,Deccan Chargers
KC Sangakkara,S Dhawan,KC Sangakkara- S Dhawan,Deccan Chargers,39,Delhi Daredevils,Deccan Chargers
JP Duminy,KC Sangakkara,JP Duminy- KC Sangakkara,Deccan Chargers,29,Delhi Daredevils,Deccan Chargers
DT Christian,JP Duminy,DT Christian- JP Duminy,Deccan Chargers,71,Delhi Daredevils,Deccan Chargers
B Chipli,DT Christian,B Chipli- DT Christian,Deccan Chargers,3,Delhi Daredevils,Deccan Chargers
DT Christian,I Malhotra,DT Christian- I Malhotra,Deccan Chargers,14,Delhi Daredevils,Deccan Chargers
AJ Finch,V Sehwag,AJ Finch- V Sehwag,Delhi Daredevils,14,Delhi Daredevils,Deccan Chargers
NV Ojha,V Sehwag,NV Ojha- V Sehwag,Delhi Daredevils,15,Delhi Daredevils,Deccan Chargers
V Sehwag,Y Venugopal Rao,V Sehwag- Y Venugopal Rao,Delhi Daredevils,10,Delhi Daredevils,Deccan Chargers
TR Birt,V Sehwag,TR Birt- V Sehwag,Delhi Daredevils,61,Delhi Daredevils,Deccan Chargers
IK Pathan,V Sehwag,IK Pathan- V Sehwag,Delhi Daredevils,67,Delhi Daredevils,Deccan Chargers
IK Pathan,JR Hopes,IK Pathan- JR Hopes,Delhi Daredevils,15,Delhi Daredevils,Deccan Chargers
JR Hopes,Y Nagar,JR Hopes- Y Nagar,Delhi Daredevils,11,Delhi Daredevils,Deccan Chargers
BB McCullum,M Klinger,BB McCullum- M Klinger,Kochi Tuskers Kerala,17,Kochi Tuskers Kerala,Kolkata Knight Riders
M Klinger,PA Patel,M Klinger- PA Patel,Kochi Tuskers Kerala,24,Kochi Tuskers Kerala,Kolkata Knight Riders
DPMD Jayawardene,M Klinger,DPMD Jayawardene- M Klinger,Kochi Tuskers Kerala,51,Kochi Tuskers Kerala,Kolkata Knight Riders
DPMD Jayawardene,RA Jadeja,DPMD Jayawardene- RA Jadeja,Kochi Tuskers Kerala,15,Kochi Tuskers Kerala,Kolkata Knight Riders
BJ Hodge,DPMD Jayawardene,BJ Hodge- DPMD Jayawardene,Kochi Tuskers Kerala,38,Kochi Tuskers Kerala,Kolkata Knight Riders
BJ Hodge,RV Gomez,BJ Hodge- RV Gomez,Kochi Tuskers Kerala,22,Kochi Tuskers Kerala,Kolkata Knight Riders
EJG Morgan,JH Kallis,EJG Morgan- JH Kallis,Kolkata Knight Riders,91,Kochi Tuskers Kerala,Kolkata Knight Riders
EJG Morgan,G Gambhir,EJG Morgan- G Gambhir,Kolkata Knight Riders,0,Kochi Tuskers Kerala,Kolkata Knight Riders
EJG Morgan,MK Tiwary,EJG Morgan- MK Tiwary,Kolkata Knight Riders,28,Kochi Tuskers Kerala,Kolkata Knight Riders
EJG Morgan,YK Pathan,EJG Morgan- YK Pathan,Kolkata Knight Riders,35,Kochi Tuskers Kerala,Kolkata Knight Riders
MV Boucher,YK Pathan,MV Boucher- YK Pathan,Kolkata Knight Riders,0,Kochi Tuskers Kerala,Kolkata Knight Riders
B Lee,MV Boucher,B Lee- MV Boucher,Kolkata Knight Riders,6,Kochi Tuskers Kerala,Kolkata Knight Riders
MV Boucher,R Bhatia,MV Boucher- R Bhatia,Kolkata Knight Riders,1,Kochi Tuskers Kerala,Kolkata Knight Riders
AC Blizzard,SR Tendulkar,AC Blizzard- SR Tendulkar,Mumbai Indians,19,Mumbai Indians,Pune Warriors
AT Rayudu,SR Tendulkar,AT Rayudu- SR Tendulkar,Mumbai Indians,40,Mumbai Indians,Pune Warriors
AT Rayudu,RG Sharma,AT Rayudu- RG Sharma,Mumbai Indians,11,Mumbai Indians,Pune Warriors
RG Sharma,TL Suman,RG Sharma- TL Suman,Mumbai Indians,27,Mumbai Indians,Pune Warriors
KA Pollard,TL Suman,KA Pollard- TL Suman,Mumbai Indians,18,Mumbai Indians,Pune Warriors
A Symonds,KA Pollard,A Symonds- KA Pollard,Mumbai Indians,10,Mumbai Indians,Pune Warriors
Harbhajan Singh,KA Pollard,Harbhajan Singh- KA Pollard,Mumbai Indians,36,Mumbai Indians,Pune Warriors
JD Ryder,MK Pandey,JD Ryder- MK Pandey,Pune Warriors,36,Mumbai Indians,Pune Warriors
GC Smith,MK Pandey,GC Smith- MK Pandey,Pune Warriors,17,Mumbai Indians,Pune Warriors
AA Jhunjhunwala,MK Pandey,AA Jhunjhunwala- MK Pandey,Pune Warriors,29,Mumbai Indians,Pune Warriors
MK Pandey,Yuvraj Singh,MK Pandey- Yuvraj Singh,Pune Warriors,31,Mumbai Indians,Pune Warriors
MK Pandey,RV Uthappa,MK Pandey- RV Uthappa,Pune Warriors,42,Mumbai Indians,Pune Warriors
M Manhas,RV Uthappa,M Manhas- RV Uthappa,Pune Warriors,9,Mumbai Indians,Pune Warriors
RV Uthappa,SB Wagh,RV Uthappa- SB Wagh,Pune Warriors,11,Mumbai Indians,Pune Warriors
R Sharma,RV Uthappa,R Sharma- RV Uthappa,Pune Warriors,0,Mumbai Indians,Pune Warriors
R Dravid,SR Watson,R Dravid- SR Watson,Rajasthan Royals,86,Chennai Super Kings,Rajasthan Royals
AL Menaria,R Dravid,AL Menaria- R Dravid,Rajasthan Royals,6,Chennai Super Kings,Rajasthan Royals
J Botha,R Dravid,J Botha- R Dravid,Rajasthan Royals,17,Chennai Super Kings,Rajasthan Royals
LRPL Taylor,R Dravid,LRPL Taylor- R Dravid,Rajasthan Royals,8,Chennai Super Kings,Rajasthan Royals
AM Rahane,LRPL Taylor,AM Rahane- LRPL Taylor,Rajasthan Royals,22,Chennai Super Kings,Rajasthan Royals
LRPL Taylor,STR Binny,LRPL Taylor- STR Binny,Rajasthan Royals,0,Chennai Super Kings,Rajasthan Royals
DH Yagnik,STR Binny,DH Yagnik- STR Binny,Rajasthan Royals,8,Chennai Super Kings,Rajasthan Royals
M Vijay,MEK Hussey,M Vijay- MEK Hussey,Chennai Super Kings,16,Chennai Super Kings,Rajasthan Royals
MEK Hussey,SK Raina,MEK Hussey- SK Raina,Chennai Super Kings,137,Chennai Super Kings,Rajasthan Royals
JA Morkel,MEK Hussey,JA Morkel- MEK Hussey,Chennai Super Kings,4,Chennai Super Kings,Rajasthan Royals
EJG Morgan,JH Kallis,EJG Morgan- JH Kallis,Kolkata Knight Riders,40,Kolkata Knight Riders,Deccan Chargers
G Gambhir,JH Kallis,G Gambhir- JH Kallis,Kolkata Knight Riders,43,Kolkata Knight Riders,Deccan Chargers
G Gambhir,YK Pathan,G Gambhir- YK Pathan,Kolkata Knight Riders,5,Kolkata Knight Riders,Deccan Chargers
MK Tiwary,YK Pathan,MK Tiwary- YK Pathan,Kolkata Knight Riders,80,Kolkata Knight Riders,Deccan Chargers
MV Boucher,YK Pathan,MV Boucher- YK Pathan,Kolkata Knight Riders,5,Kolkata Knight Riders,Deccan Chargers
S Dhawan,S Sohal,S Dhawan- S Sohal,Deccan Chargers,46,Kolkata Knight Riders,Deccan Chargers
KC Sangakkara,S Dhawan,KC Sangakkara- S Dhawan,Deccan Chargers,0,Kolkata Knight Riders,Deccan Chargers
CL White,S Dhawan,CL White- S Dhawan,Deccan Chargers,27,Kolkata Knight Riders,Deccan Chargers
DT Christian,S Dhawan,DT Christian- S Dhawan,Deccan Chargers,2,Kolkata Knight Riders,Deccan Chargers
DB Ravi Teja,S Dhawan,DB Ravi Teja- S Dhawan,Deccan Chargers,56,Kolkata Knight Riders,Deccan Chargers
B Chipli,S Dhawan,B Chipli- S Dhawan,Deccan Chargers,2,Kolkata Knight Riders,Deccan Chargers
A Mishra,B Chipli,A Mishra- B Chipli,Deccan Chargers,21,Kolkata Knight Riders,Deccan Chargers
DA Warner,V Sehwag,DA Warner- V Sehwag,Delhi Daredevils,42,Kochi Tuskers Kerala,Delhi Daredevils
DA Warner,NV Ojha,DA Warner- NV Ojha,Delhi Daredevils,21,Kochi Tuskers Kerala,Delhi Daredevils
NV Ojha,Y Nagar,NV Ojha- Y Nagar,Delhi Daredevils,1,Kochi Tuskers Kerala,Delhi Daredevils
Y Nagar,Y Venugopal Rao,Y Nagar- Y Venugopal Rao,Delhi Daredevils,54,Kochi Tuskers Kerala,Delhi Daredevils
TR Birt,Y Venugopal Rao,TR Birt- Y Venugopal Rao,Delhi Daredevils,19,Kochi Tuskers Kerala,Delhi Daredevils
IK Pathan,TR Birt,IK Pathan- TR Birt,Delhi Daredevils,19,Kochi Tuskers Kerala,Delhi Daredevils
IK Pathan,RE van der Merwe,IK Pathan- RE van der Merwe,Delhi Daredevils,5,Kochi Tuskers Kerala,Delhi Daredevils
BB McCullum,M Klinger,BB McCullum- M Klinger,Kochi Tuskers Kerala,66,Kochi Tuskers Kerala,Delhi Daredevils
M Klinger,PA Patel,M Klinger- PA Patel,Kochi Tuskers Kerala,10,Kochi Tuskers Kerala,Delhi Daredevils
DPMD Jayawardene,PA Patel,DPMD Jayawardene- PA Patel,Kochi Tuskers Kerala,18,Kochi Tuskers Kerala,Delhi Daredevils
BJ Hodge,PA Patel,BJ Hodge- PA Patel,Kochi Tuskers Kerala,52,Kochi Tuskers Kerala,Delhi Daredevils
DJ Jacobs,SR Tendulkar,DJ Jacobs- SR Tendulkar,Mumbai Indians,66,Mumbai Indians,Kings XI Punjab
AT Rayudu,SR Tendulkar,AT Rayudu- SR Tendulkar,Mumbai Indians,95,Mumbai Indians,Kings XI Punjab
KA Pollard,SR Tendulkar,KA Pollard- SR Tendulkar,Mumbai Indians,20,Mumbai Indians,Kings XI Punjab
KA Pollard,RG Sharma,KA Pollard- RG Sharma,Mumbai Indians,15,Mumbai Indians,Kings XI Punjab
A Symonds,RG Sharma,A Symonds- RG Sharma,Mumbai Indians,14,Mumbai Indians,Kings XI Punjab
A Symonds,TL Suman,A Symonds- TL Suman,Mumbai Indians,1,Mumbai Indians,Kings XI Punjab
AC Gilchrist,PC Valthaty,AC Gilchrist- PC Valthaty,Kings XI Punjab,2,Mumbai Indians,Kings XI Punjab
PC Valthaty,SE Marsh,PC Valthaty- SE Marsh,Kings XI Punjab,72,Mumbai Indians,Kings XI Punjab
DJ Hussey,SE Marsh,DJ Hussey- SE Marsh,Kings XI Punjab,6,Mumbai Indians,Kings XI Punjab
KD Karthik,SE Marsh,KD Karthik- SE Marsh,Kings XI Punjab,4,Mumbai Indians,Kings XI Punjab
AM Nayar,SE Marsh,AM Nayar- SE Marsh,Kings XI Punjab,30,Mumbai Indians,Kings XI Punjab
Bipul Sharma,SE Marsh,Bipul Sharma- SE Marsh,Kings XI Punjab,3,Mumbai Indians,Kings XI Punjab
PP Chawla,SE Marsh,PP Chawla- SE Marsh,Kings XI Punjab,15,Mumbai Indians,Kings XI Punjab
PP Chawla,RJ Harris,PP Chawla- RJ Harris,Kings XI Punjab,1,Mumbai Indians,Kings XI Punjab
P Kumar,PP Chawla,P Kumar- PP Chawla,Kings XI Punjab,4,Mumbai Indians,Kings XI Punjab
M Vijay,MEK Hussey,M Vijay- MEK Hussey,Chennai Super Kings,22,Chennai Super Kings,Deccan Chargers
MEK Hussey,SK Raina,MEK Hussey- SK Raina,Chennai Super Kings,60,Chennai Super Kings,Deccan Chargers
MS Dhoni,SK Raina,MS Dhoni- SK Raina,Chennai Super Kings,58,Chennai Super Kings,Deccan Chargers
JA Morkel,MS Dhoni,JA Morkel- MS Dhoni,Chennai Super Kings,21,Chennai Super Kings,Deccan Chargers
MS Dhoni,S Badrinath,MS Dhoni- S Badrinath,Chennai Super Kings,5,Chennai Super Kings,Deccan Chargers
S Anirudha,S Badrinath,S Anirudha- S Badrinath,Chennai Super Kings,3,Chennai Super Kings,Deccan Chargers
S Dhawan,S Sohal,S Dhawan- S Sohal,Deccan Chargers,74,Chennai Super Kings,Deccan Chargers
B Chipli,S Dhawan,B Chipli- S Dhawan,Deccan Chargers,19,Chennai Super Kings,Deccan Chargers
B Chipli,KC Sangakkara,B Chipli- KC Sangakkara,Deccan Chargers,20,Chennai Super Kings,Deccan Chargers
CL White,KC Sangakkara,CL White- KC Sangakkara,Deccan Chargers,11,Chennai Super Kings,Deccan Chargers
CL White,JP Duminy,CL White- JP Duminy,Deccan Chargers,16,Chennai Super Kings,Deccan Chargers
DT Christian,JP Duminy,DT Christian- JP Duminy,Deccan Chargers,6,Chennai Super Kings,Deccan Chargers
A Mishra,DT Christian,A Mishra- DT Christian,Deccan Chargers,0,Chennai Super Kings,Deccan Chargers
A Mishra,I Sharma,A Mishra- I Sharma,Deccan Chargers,3,Chennai Super Kings,Deccan Chargers
JD Ryder,MK Pandey,JD Ryder- MK Pandey,Pune Warriors,27,Rajasthan Royals,Pune Warriors
MK Pandey,RV Uthappa,MK Pandey- RV Uthappa,Pune Warriors,46,Rajasthan Royals,Pune Warriors
MK Pandey,Yuvraj Singh,MK Pandey- Yuvraj Singh,Pune Warriors,21,Rajasthan Royals,Pune Warriors
Harpreet Singh,MK Pandey,Harpreet Singh- MK Pandey,Pune Warriors,2,Rajasthan Royals,Pune Warriors
Harpreet Singh,M Manhas,Harpreet Singh- M Manhas,Pune Warriors,28,Rajasthan Royals,Pune Warriors
M Manhas,NL McCullum,M Manhas- NL McCullum,Pune Warriors,13,Rajasthan Royals,Pune Warriors
NL McCullum,R Sharma,NL McCullum- R Sharma,Pune Warriors,1,Rajasthan Royals,Pune Warriors
M Kartik,NL McCullum,M Kartik- NL McCullum,Pune Warriors,8,Rajasthan Royals,Pune Warriors
R Dravid,SR Watson,R Dravid- SR Watson,Rajasthan Royals,37,Rajasthan Royals,Pune Warriors
J Botha,R Dravid,J Botha- R Dravid,Rajasthan Royals,14,Rajasthan Royals,Pune Warriors
AL Menaria,J Botha,AL Menaria- J Botha,Rajasthan Royals,16,Rajasthan Royals,Pune Warriors
AL Menaria,LRPL Taylor,AL Menaria- LRPL Taylor,Rajasthan Royals,33,Rajasthan Royals,Pune Warriors
AM Rahane,LRPL Taylor,AM Rahane- LRPL Taylor,Rajasthan Royals,52,Rajasthan Royals,Pune Warriors
AC Gilchrist,PC Valthaty,AC Gilchrist- PC Valthaty,Kings XI Punjab,84,Kolkata Knight Riders,Kings XI Punjab
