Match ID,Player Name,Runs scored,Balls,Fours,Sixes,Wicket Taker,Wicket Type,Balls Bowled,Runs Conceded,Wickets Taken,Team
336013,S Vidyut,8,6,2,0,S Sreesanth,caught,0,0,0,Chennai Super Kings
336013,S Sreesanth,0,0,0,0,,,30,27,2,Kings XI Punjab
336013,SP Fleming,1,4,0,0,S Sreesanth,caught,0,0,0,Chennai Super Kings
336013,CK Kapugedera,0,0,0,0,,,8,6,0,Chennai Super Kings
336013,SE Marsh,58,39,3,4,L Balaji,caught,0,0,0,Kings XI Punjab
336013,U Kaul,0,1,0,0,,,0,0,0,Kings XI Punjab
336013,IK Pathan,40,18,3,3,L Balaji,caught,33,27,0,Kings XI Punjab
336013,L Balaji,0,0,0,0,,,25,25,5,Chennai Super Kings
336013,DPMD Jayawardene,8,6,0,1,M Muralitharan,caught,0,0,0,Kings XI Punjab
336013,K Goel,1,7,0,0,MS Gony,caught,0,0,0,Kings XI Punjab
336013,VRV Singh,0,1,0,0,L Balaji,caught,36,26,1,Kings XI Punjab
336013,M Muralitharan,0,0,0,0,,,32,25,1,Chennai Super Kings
336013,SK Raina,26,19,4,0,PP Chawla,caught,0,0,0,Chennai Super Kings
336013,JR Hopes,14,7,1,1,JA Morkel,caught,38,26,0,Kings XI Punjab
336013,Yuvraj Singh,2,5,0,0,P Amarnath,caught,8,6,0,Kings XI Punjab
336013,RR Sarwan,20,22,0,0,L Balaji,bowled,0,0,0,Kings XI Punjab
336029,JA Morkel,1,5,0,0,DW Steyn,caught,32,24,4,Chennai Super Kings
336029,S Badrinath,1,3,0,0,A Kumble,lbw,0,0,0,Chennai Super Kings
336029,MS Dhoni,4,8,0,0,R Vinay Kumar,caught,0,0,0,Chennai Super Kings
336029,MS Gony,4,5,1,0,P Kumar,caught,13,25,2,Chennai Super Kings
336029,JH Kallis,5,5,1,0,MS Gony,caught,15,24,0,Royal Challengers Bangalore
336029,M Ntini,0,6,0,0,,,27,24,0,Chennai Super Kings
336029,PA Patel,24,31,4,0,A Kumble,caught and bowled,0,0,0,Chennai Super Kings
336029,S Vidyut,0,3,0,0,DW Steyn,caught,0,0,0,Chennai Super Kings
336029,SP Fleming,45,40,3,2,A Kumble,caught,0,0,0,Chennai Super Kings
336029,SP Goswami,10,19,1,0,MS Gony,caught,0,0,0,Royal Challengers Bangalore
336029,L Balaji,0,5,0,0,DW Steyn,run out,35,24,1,Chennai Super Kings
336029,Misbah-ul-Haq,4,6,0,0,L Balaji,caught,0,0,0,Royal Challengers Bangalore
336029,R Dravid,47,39,5,0,JA Morkel,caught,0,0,0,Royal Challengers Bangalore
336029,A Kumble,2,1,0,0,,,15,24,3,Royal Challengers Bangalore
336029,DW Steyn,0,0,0,0,,,28,28,2,Royal Challengers Bangalore
336029,MV Boucher,17,15,3,0,JA Morkel,lbw,0,0,0,Royal Challengers Bangalore
336029,B Akhil,6,7,1,0,,,4,6,0,Royal Challengers Bangalore
336029,M Muralitharan,0,0,0,0,,,19,24,1,Chennai Super Kings
336029,SK Raina,21,20,2,0,,,0,0,0,Chennai Super Kings
336029,R Vinay Kumar,0,1,0,0,JA Morkel,bowled,23,19,1,Royal Challengers Bangalore
336029,P Kumar,21,11,2,1,JA Morkel,bowled,27,25,1,Royal Challengers Bangalore
336029,V Kohli,10,17,1,0,M Muralitharan,caught,0,0,0,Royal Challengers Bangalore
734033,V Sehwag,18,9,3,1,JP Faulkner,caught,0,0,0,Kings XI Punjab
734033,JP Faulkner,35,13,1,4,,,39,19,1,Rajasthan Royals
734033,DA Miller,29,20,0,2,,,0,0,0,Kings XI Punjab
734033,BE Hendricks,0,0,0,0,,,57,24,0,Kings XI Punjab
734033,KK Cooper,2,2,0,0,AR Patel,caught,33,24,0,Rajasthan Royals
734033,R Tewatia,16,13,0,1,AR Patel,caught,24,25,1,Rajasthan Royals
734033,Karanveer Singh,0,0,0,0,,,16,25,2,Kings XI Punjab
734033,AM Rahane,23,27,2,0,R Dhawan,bowled,0,0,0,Rajasthan Royals
734033,AR Patel,0,0,0,0,,,26,24,3,Kings XI Punjab
734033,BJ Hodge,31,19,2,2,AR Patel,stumped,0,0,0,Rajasthan Royals
734033,PV Tambe,0,0,0,0,,,38,24,0,Rajasthan Royals
734033,SE Marsh,40,36,5,1,VS Malik,caught,0,0,0,Kings XI Punjab
734033,GJ Bailey,26,18,1,1,,,0,0,0,Kings XI Punjab
734033,L Balaji,0,0,0,0,,,38,25,1,Kings XI Punjab
734033,VS Malik,1,2,0,0,,,29,19,1,Rajasthan Royals
734033,SV Samson,30,29,2,1,Karanveer Singh,stumped,0,0,0,Rajasthan Royals
734033,M Vohra,25,21,3,1,R Tewatia,run out,0,0,0,Kings XI Punjab
734033,STR Binny,7,11,0,0,Karanveer Singh,caught,0,0,0,Rajasthan Royals
734033,KK Nair,11,6,2,0,L Balaji,caught,0,0,0,Rajasthan Royals
734033,SR Watson,0,1,0,0,R Dhawan,bowled,16,13,0,Rajasthan Royals
734033,R Dhawan,0,0,0,0,,,26,25,2,Kings XI Punjab
734033,WP Saha,27,20,4,0,R Tewatia,caught,0,0,0,Kings XI Punjab
335987,YK Pathan,7,6,1,0,B Lee,caught and bowled,13,6,0,Rajasthan Royals
335987,S Sohal,4,4,0,0,MM Patel,run out,0,0,0,Kings XI Punjab
335987,PP Chawla,24,11,4,0,,,27,12,0,Kings XI Punjab
