op_partner_name,team,partnership,winner,loser
BB McCullum-G Gambhir,team_Kolkata Knight Riders,6,winner_Kolkata Knight Riders,loser_Mumbai Indians
HH Gibbs-SR Tendulkar,team_Mumbai Indians,26,winner_Kolkata Knight Riders,loser_Mumbai Indians
ML Hayden-PA Patel,team_Chennai Super Kings,34,winner_Chennai Super Kings,loser_Mumbai Indians
L Ronchi-ST Jayasuriya,team_Mumbai Indians,9,winner_Chennai Super Kings,loser_Mumbai Indians
JH Kallis-SP Goswami,team_Royal Challengers Bangalore,7,winner_Royal Challengers Bangalore,loser_Chennai Super Kings
PA Patel-SP Fleming,team_Chennai Super Kings,60,winner_Royal Challengers Bangalore,loser_Chennai Super Kings
BB McCullum-G Gambhir,team_Kolkata Knight Riders,48,winner_Kolkata Knight Riders,loser_Delhi Daredevils
DA Warner-V Sehwag,team_Delhi Daredevils,24,winner_Kolkata Knight Riders,loser_Delhi Daredevils
S Dhawan-S Sohal,team_Deccan Chargers,14,winner_Deccan Chargers,loser_Delhi Daredevils
DA Warner-V Sehwag,team_Delhi Daredevils,28,winner_Deccan Chargers,loser_Delhi Daredevils
M Vijay-ML Hayden,team_Chennai Super Kings,44,winner_Chennai Super Kings,loser_Mumbai Indians
S Dhawan-SR Tendulkar,team_Mumbai Indians,1,winner_Chennai Super Kings,loser_Mumbai Indians
CH Gayle-V Kohli,team_Royal Challengers Bangalore,41,winner_Royal Challengers Bangalore,loser_Rajasthan Royals
AM Rahane-SR Watson,team_Rajasthan Royals,14,winner_Royal Challengers Bangalore,loser_Rajasthan Royals
DA Warner-S Dhawan,team_Sunrisers Hyderabad,67,winner_Delhi Daredevils,loser_Sunrisers Hyderabad
MA Agarwal-Q de Kock,team_Delhi Daredevils,20,winner_Delhi Daredevils,loser_Sunrisers Hyderabad
CH Gayle-MA Agarwal,team_Royal Challengers Bangalore,53,winner_Chennai Super Kings,loser_Royal Challengers Bangalore
F du Plessis-M Vijay,team_Chennai Super Kings,56,winner_Chennai Super Kings,loser_Royal Challengers Bangalore
DA Warner-S Dhawan,team_Sunrisers Hyderabad,56,winner_Sunrisers Hyderabad,loser_Kings XI Punjab
M Vijay-M Vohra,team_Kings XI Punjab,42,winner_Sunrisers Hyderabad,loser_Kings XI Punjab
MA Agarwal-SS Iyer,team_Delhi Daredevils,0,winner_Mumbai Indians,loser_Delhi Daredevils
LMP Simmons-PA Patel,team_Mumbai Indians,1,winner_Mumbai Indians,loser_Delhi Daredevils
BB McCullum-DR Smith,team_Chennai Super Kings,35,winner_Chennai Super Kings,loser_Rajasthan Royals
AM Nayar-AM Rahane,team_Rajasthan Royals,10,winner_Chennai Super Kings,loser_Rajasthan Royals
JD Ryder-SP Goswami,team_Royal Challengers Bangalore,2,winner_Royal Challengers Bangalore,loser_Kings XI Punjab
K Goel-Yuvraj Singh,team_Kings XI Punjab,70,winner_Royal Challengers Bangalore,loser_Kings XI Punjab
CH Gayle-SC Ganguly,team_Kolkata Knight Riders,94,winner_Kolkata Knight Riders,loser_Delhi Daredevils
DA Warner-V Sehwag,team_Delhi Daredevils,0,winner_Kolkata Knight Riders,loser_Delhi Daredevils
R Dravid-S Chanderpaul,team_Royal Challengers Bangalore,1,winner_Rajasthan Royals,loser_Royal Challengers Bangalore
GC Smith-M Rawat,team_Rajasthan Royals,1,winner_Rajasthan Royals,loser_Royal Challengers Bangalore
SR Tendulkar-ST Jayasuriya,team_Mumbai Indians,12,winner_Mumbai Indians,loser_Rajasthan Royals
MJ Lumb-NV Ojha,team_Rajasthan Royals,9,winner_Mumbai Indians,loser_Rajasthan Royals
AJ Finch-S Dhawan,team_Sunrisers Hyderabad,20,winner_Royal Challengers Bangalore,loser_Sunrisers Hyderabad
CH Gayle-PA Patel,team_Royal Challengers Bangalore,5,winner_Royal Challengers Bangalore,loser_Sunrisers Hyderabad
M Vohra-WP Saha,team_Kings XI Punjab,16,winner_Chennai Super Kings,loser_Kings XI Punjab
BB McCullum-MEK Hussey,team_Chennai Super Kings,2,winner_Chennai Super Kings,loser_Kings XI Punjab
JEC Franklin-SR Tendulkar,team_Mumbai Indians,1,winner_Royal Challengers Bangalore,loser_Mumbai Indians
CH Gayle-TM Dilshan,team_Royal Challengers Bangalore,48,winner_Royal Challengers Bangalore,loser_Mumbai Indians
LMP Simmons-MEK Hussey,team_Mumbai Indians,76,winner_Chennai Super Kings,loser_Mumbai Indians
DR Smith-F du Plessis,team_Chennai Super Kings,60,winner_Chennai Super Kings,loser_Mumbai Indians
AM Rahane-F du Plessis,team_Rising Pune Supergiants,27,winner_Gujarat Lions,loser_Rising Pune Supergiants
AJ Finch-BB McCullum,team_Gujarat Lions,85,winner_Gujarat Lions,loser_Rising Pune Supergiants
G Gambhir-RV Uthappa,team_Kolkata Knight Riders,38,winner_Kolkata Knight Riders,loser_Delhi Daredevils
MK Tiwary-SS Iyer,team_Delhi Daredevils,63,winner_Kolkata Knight Riders,loser_Delhi Daredevils
SR Tendulkar-ST Jayasuriya,team_Mumbai Indians,70,winner_Delhi Daredevils,loser_Mumbai Indians
G Gambhir-V Sehwag,team_Delhi Daredevils,20,winner_Delhi Daredevils,loser_Mumbai Indians
T Kohli-YK Pathan,team_Rajasthan Royals,17,winner_Delhi Daredevils,loser_Rajasthan Royals
G Gambhir-V Sehwag,team_Delhi Daredevils,20,winner_Delhi Daredevils,loser_Rajasthan Royals
C Madan-SR Tendulkar,team_Mumbai Indians,41,winner_Mumbai Indians,loser_Delhi Daredevils
DA Warner-V Sehwag,team_Delhi Daredevils,39,winner_Mumbai Indians,loser_Delhi Daredevils
ST Jayasuriya-YV Takawale,team_Mumbai Indians,46,winner_Mumbai Indians,loser_Delhi Daredevils
G Gambhir-V Sehwag,team_Delhi Daredevils,3,winner_Mumbai Indians,loser_Delhi Daredevils
AM Rahane-SR Watson,team_Rajasthan Royals,11,winner_Rajasthan Royals,loser_Kolkata Knight Riders
G Gambhir-MS Bisla,team_Kolkata Knight Riders,19,winner_Rajasthan Royals,loser_Kolkata Knight Riders
AG Paunikar-SR Watson,team_Rajasthan Royals,24,winner_Kolkata Knight Riders,loser_Rajasthan Royals
JH Kallis-MS Bisla,team_Kolkata Knight Riders,0,winner_Kolkata Knight Riders,loser_Rajasthan Royals
G Gambhir-V Sehwag,team_Delhi Daredevils,75,winner_Kings XI Punjab,loser_Delhi Daredevils
JR Hopes-SE Marsh,team_Kings XI Punjab,3,winner_Kings XI Punjab,loser_Delhi Daredevils
MJ Lumb-NV Ojha,team_Rajasthan Royals,47,winner_Rajasthan Royals,loser_Chennai Super Kings
M Vijay-ML Hayden,team_Chennai Super Kings,24,winner_Rajasthan Royals,loser_Chennai Super Kings
IR Jaggi-S Dhawan,team_Deccan Chargers,40,winner_Rajasthan Royals,loser_Deccan Chargers
AG Paunikar-R Dravid,team_Rajasthan Royals,31,winner_Rajasthan Royals,loser_Deccan Chargers
CH Gayle-V Kohli,team_Royal Challengers Bangalore,10,winner_Draw,loser_Draw
F du Plessis-MEK Hussey,team_Chennai Super Kings,5,winner_Kolkata Knight Riders,loser_Chennai Super Kings
BB McCullum-G Gambhir,team_Kolkata Knight Riders,14,winner_Kolkata Knight Riders,loser_Chennai Super Kings
CH Gayle-MA Agarwal,team_Royal Challengers Bangalore,6,winner_Chennai Super Kings,loser_Royal Challengers Bangalore
M Vijay-MEK Hussey,team_Chennai Super Kings,4,winner_Chennai Super Kings,loser_Royal Challengers Bangalore
DA Warner-V Sehwag,team_Delhi Daredevils,4,winner_Delhi Daredevils,loser_Kochi Tuskers Kerala
BB McCullum-M Klinger,team_Kochi Tuskers Kerala,10,winner_Delhi Daredevils,loser_Kochi Tuskers Kerala
DA Warner-V Sehwag,team_Delhi Daredevils,146,winner_Delhi Daredevils,loser_Kings XI Punjab
AC Gilchrist-PC Valthaty,team_Kings XI Punjab,25,winner_Delhi Daredevils,loser_Kings XI Punjab
DA Warner-V Sehwag,team_Delhi Daredevils,5,winner_Rajasthan Royals,loser_Delhi Daredevils
AG Paunikar-R Dravid,team_Rajasthan Royals,26,winner_Rajasthan Royals,loser_Delhi Daredevils
CH Gayle-SC Ganguly,team_Kolkata Knight Riders,15,winner_Kolkata Knight Riders,loser_Deccan Chargers
AC Gilchrist-HH Gibbs,team_Deccan Chargers,31,winner_Kolkata Knight Riders,loser_Deccan Chargers
DPMD Jayawardene-V Sehwag,team_Delhi Daredevils,20,winner_Delhi Daredevils,loser_Pune Warriors
AJ Finch-RV Uthappa,team_Pune Warriors,76,winner_Delhi Daredevils,loser_Pune Warriors
AP Tare-RG Sharma,team_Mumbai Indians,10,winner_Delhi Daredevils,loser_Mumbai Indians
M Vijay-Q de Kock,team_Delhi Daredevils,34,winner_Delhi Daredevils,loser_Mumbai Indians
AJ Finch-S Dhawan,team_Sunrisers Hyderabad,21,winner_Sunrisers Hyderabad,loser_Mumbai Indians
BR Dunk-RG Sharma,team_Mumbai Indians,6,winner_Sunrisers Hyderabad,loser_Mumbai Indians
SR Watson-V Kohli,team_Royal Challengers Bangalore,8,winner_Gujarat Lions,loser_Royal Challengers Bangalore
BB McCullum-DR Smith,team_Gujarat Lions,47,winner_Gujarat Lions,loser_Royal Challengers Bangalore
DA Warner-V Sehwag,team_Delhi Daredevils,0,winner_Sunrisers Hyderabad,loser_Delhi Daredevils
PA Patel-PA Reddy,team_Sunrisers Hyderabad,2,winner_Sunrisers Hyderabad,loser_Delhi Daredevils
BB McCullum-DR Smith,team_Chennai Super Kings,20,winner_Chennai Super Kings,loser_Delhi Daredevils
CM Gautam-MA Agarwal,team_Delhi Daredevils,15,winner_Chennai Super Kings,loser_Delhi Daredevils
ML Hayden-PA Patel,team_Chennai Super Kings,26,winner_Chennai Super Kings,loser_Kings XI Punjab
JR Hopes-K Goel,team_Kings XI Punjab,56,winner_Chennai Super Kings,loser_Kings XI Punjab
S Dhawan-SR Tendulkar,team_Mumbai Indians,24,winner_Mumbai Indians,loser_Deccan Chargers
AC Gilchrist-MD Mishra,team_Deccan Chargers,0,winner_Mumbai Indians,loser_Deccan Chargers
DB Ravi Teja-S Dhawan,team_Deccan Chargers,19,winner_Delhi Daredevils,loser_Deccan Chargers
AJ Finch-V Sehwag,team_Delhi Daredevils,0,winner_Delhi Daredevils,loser_Deccan Chargers
AC Gilchrist-PC Valthaty,team_Kings XI Punjab,22,winner_Kings XI Punjab,loser_Mumbai Indians
