player1,player2,team,partnership
DPMD Jayawardene,V Sehwag,Delhi Daredevils,20
RV Uthappa,AJ Finch,Pune Warriors,76
RG Sharma,AP Tare,Mumbai Indians,10
Q de Kock,M Vijay,Delhi Daredevils,34
S Dhawan,AJ Finch,Sunrisers Hyderabad,21
RG Sharma,BR Dunk,Mumbai Indians,6
SR Watson,V Kohli,Royal Challengers Bangalore,8
DR Smith,BB McCullum,Gujarat Lions,47
DA Warner,V Sehwag,Delhi Daredevils,0
PA Reddy,PA Patel,Sunrisers Hyderabad,2
BB McCullum,DR Smith,Chennai Super Kings,20
CM Gautam,MA Agarwal,Delhi Daredevils,15
PA Patel,ML Hayden,Chennai Super Kings,26
K Goel,JR Hopes,Kings XI Punjab,56
S Dhawan,SR Tendulkar,Mumbai Indians,24
AC Gilchrist,MD Mishra,Deccan Chargers,0
DB Ravi Teja,S Dhawan,Deccan Chargers,19
AJ Finch,V Sehwag,Delhi Daredevils,0
PC Valthaty,AC Gilchrist,Kings XI Punjab,22
SR Tendulkar,AC Blizzard,Mumbai Indians,19
V Sehwag,DA Warner,Delhi Daredevils,40
G Gambhir,BB McCullum,Kolkata Knight Riders,68
GC Smith,NV Ojha,Rajasthan Royals,135
S Sohal,KC Sangakkara,Kings XI Punjab,0
SE Marsh,Mandeep Singh,Kings XI Punjab,55
S Dhawan,DJ Harris,Deccan Chargers,10
M Vijay,F du Plessis,Chennai Super Kings,43
JD Ryder,RV Uthappa,Pune Warriors,31
AC Gilchrist,MD Mishra,Deccan Chargers,11
DA Warner,V Sehwag,Delhi Daredevils,9
V Sehwag,DA Warner,Delhi Daredevils,21
BB McCullum,M Klinger,Kochi Tuskers Kerala,61
V Sehwag,M Vohra,Kings XI Punjab,23
MEK Hussey,LMP Simmons,Mumbai Indians,68
HH Gibbs,AC Gilchrist,Deccan Chargers,34
GC Smith,SA Asnodkar,Rajasthan Royals,0
MS Bisla,JH Kallis,Kolkata Knight Riders,51
IR Jaggi,S Dhawan,Deccan Chargers,10
M Vijay,KP Pietersen,Delhi Daredevils,13
M Vohra,V Sehwag,Kings XI Punjab,67
NV Ojha,MJ Lumb,Rajasthan Royals,35
KC Sangakkara,RS Bopara,Kings XI Punjab,41
S Dhawan,DA Warner,Sunrisers Hyderabad,46
Q de Kock,RR Pant,Delhi Daredevils,9
DPMD Jayawardene,SE Marsh,Kings XI Punjab,34
ML Hayden,M Vijay,Chennai Super Kings,13
BB McCullum,DR Smith,Chennai Super Kings,15
SR Watson,AM Rahane,Rajasthan Royals,144
MA Agarwal,KP Pietersen,Delhi Daredevils,13
V Sehwag,M Vohra,Kings XI Punjab,13
RG Sharma,MJ Guptill,Mumbai Indians,46
MA Agarwal,Q de Kock,Delhi Daredevils,11
TM Dilshan,CH Gayle,Royal Challengers Bangalore,11
DA Warner,UBT Chand,Delhi Daredevils,17
BR Dunk,CM Gautam,Mumbai Indians,25
PA Patel,CH Gayle,Royal Challengers Bangalore,53
M Vijay,ML Hayden,Chennai Super Kings,36
G Gambhir,DA Warner,Delhi Daredevils,20
S Dhawan,AJ Finch,Sunrisers Hyderabad,37
AM Rahane,KK Nair,Rajasthan Royals,0
CH Gayle,TM Dilshan,Royal Challengers Bangalore,8
PA Patel,PA Reddy,Sunrisers Hyderabad,4
CL White,NLTC Perera,Sunrisers Hyderabad,20
CH Gayle,V Kohli,Royal Challengers Bangalore,15
M Vijay,Q de Kock,Delhi Daredevils,36
BB McCullum,DR Smith,Chennai Super Kings,82
SA Asnodkar,GC Smith,Rajasthan Royals,109
J Arunkumar,V Kohli,Royal Challengers Bangalore,0
HH Gibbs,AC Gilchrist,Deccan Chargers,79
KC Sangakkara,SE Marsh,Kings XI Punjab,84
S Dhawan,AJ Finch,Sunrisers Hyderabad,56
Q de Kock,M Vijay,Delhi Daredevils,99
MS Bisla,G Gambhir,Kolkata Knight Riders,45
AJ Finch,RV Uthappa,Pune Warriors,20
S Vidyut,SP Fleming,Chennai Super Kings,10
JR Hopes,SE Marsh,Kings XI Punjab,16
B Chipli,JH Kallis,Royal Challengers Bangalore,31
V Sehwag,G Gambhir,Delhi Daredevils,90
ML Hayden,M Vijay,Chennai Super Kings,61
AC Gilchrist,HH Gibbs,Deccan Chargers,0
Q de Kock,MA Agarwal,Delhi Daredevils,24
RV Uthappa,G Gambhir,Kolkata Knight Riders,69
RJ Quiney,NV Ojha,Rajasthan Royals,22
SC Ganguly,BB McCullum,Kolkata Knight Riders,9
AM Rahane,UT Khawaja,Rising Pune Supergiants,26
KL Rahul,V Kohli,Royal Challengers Bangalore,94
DR Smith,BB McCullum,Chennai Super Kings,0
G Gambhir,RV Uthappa,Kolkata Knight Riders,33
Mandeep Singh,AC Gilchrist,Kings XI Punjab,5
UBT Chand,DA Warner,Delhi Daredevils,82
AC Gilchrist,PC Valthaty,Kings XI Punjab,67
R Dravid,SA Asnodkar,Rajasthan Royals,12
KL Rahul,V Kohli,Royal Challengers Bangalore,63
HM Amla,M Vijay,Kings XI Punjab,45
MEK Hussey,M Vijay,Chennai Super Kings,7
AB de Villiers,CH Gayle,Royal Challengers Bangalore,0
BB McCullum,DR Smith,Chennai Super Kings,44
PA Patel,LMP Simmons,Mumbai Indians,84
BB McCullum,DR Smith,Gujarat Lions,17
RR Pant,Q de Kock,Delhi Daredevils,115
DJ Jacobs,RE Levi,Mumbai Indians,2
NV Ojha,V Sehwag,Delhi Daredevils,34
RV Uthappa,G Gambhir,Kolkata Knight Riders,69
PA Patel,RG Sharma,Mumbai Indians,8
AC Gilchrist,HH Gibbs,Deccan Chargers,1
MK Pandey,JH Kallis,Royal Challengers Bangalore,0
CH Gayle,PA Patel,Royal Challengers Bangalore,21
CA Pujara,V Sehwag,Kings XI Punjab,22
PA Patel,S Dhawan,Sunrisers Hyderabad,2
R Dravid,AM Rahane,Rajasthan Royals,13
S Dhawan,S Sohal,Deccan Chargers,20
TM Dilshan,MA Agarwal,Royal Challengers Bangalore,8
