player1,player2,team,partnership
G Gambhir,RV Uthappa,Kolkata Knight Riders,35
NV Ojha,MJ Lumb,Rajasthan Royals,27
JH Kallis,MK Pandey,Royal Challengers Bangalore,93
M Vijay,M Vohra,Kings XI Punjab,45
RV Uthappa,G Gambhir,Kolkata Knight Riders,31
MS Bisla,G Gambhir,Kolkata Knight Riders,3
MA Agarwal,CH Gayle,Royal Challengers Bangalore,12
YV Takawale,PA Patel,Royal Challengers Bangalore,1
AM Rahane,KK Nair,Rajasthan Royals,31
SR Tendulkar,JEC Franklin,Mumbai Indians,51
N Saini,Mandeep Singh,Kings XI Punjab,48
Q de Kock,S Dhawan,Sunrisers Hyderabad,4
M Vijay,MEK Hussey,Chennai Super Kings,65
PA Patel,LMP Simmons,Mumbai Indians,111
V Sehwag,M Vijay,Kings XI Punjab,9
PA Patel,LMP Simmons,Mumbai Indians,29
RV Uthappa,G Gambhir,Kolkata Knight Riders,45
M Vohra,M Vijay,Kings XI Punjab,8
SS Iyer,Q de Kock,Delhi Daredevils,9
S Dhawan,DA Warner,Sunrisers Hyderabad,7
LMP Simmons,PA Patel,Mumbai Indians,106
RV Uthappa,G Gambhir,Kolkata Knight Riders,81
V Kohli,CH Gayle,Royal Challengers Bangalore,29
MS Bisla,G Gambhir,Kolkata Knight Riders,25
S Dhawan,PA Patel,Sunrisers Hyderabad,89
M Vijay,F du Plessis,Chennai Super Kings,4
RE Levi,SR Tendulkar,Mumbai Indians,69
ML Hayden,M Vijay,Chennai Super Kings,41
AC Gilchrist,MD Mishra,Deccan Chargers,32
BB McCullum,G Gambhir,Kolkata Knight Riders,95
TM Dilshan,CH Gayle,Royal Challengers Bangalore,2
RG Sharma,PA Patel,Mumbai Indians,0
M Vijay,M Vohra,Kings XI Punjab,20
HH Gibbs,AC Gilchrist,Deccan Chargers,61
YK Pathan,GC Smith,Rajasthan Royals,109
LMP Simmons,MEK Hussey,Mumbai Indians,87
M Vijay,KP Pietersen,Delhi Daredevils,43
S Dhawan,DA Warner,Sunrisers Hyderabad,63
CH Gayle,V Kohli,Royal Challengers Bangalore,114
PA Reddy,S Dhawan,Sunrisers Hyderabad,2
AM Rahane,R Dravid,Rajasthan Royals,7
Ankit Sharma,SR Watson,Rajasthan Royals,60
BB McCullum,DR Smith,Chennai Super Kings,20
G Gambhir,YK Pathan,Kolkata Knight Riders,46
R Ashwin,MEK Hussey,Chennai Super Kings,24
Salman Butt,A Chopra,Kolkata Knight Riders,4
HH Gibbs,AC Gilchrist,Deccan Chargers,12
JD Ryder,MD Mishra,Pune Warriors,22
MEK Hussey,M Vijay,Chennai Super Kings,19
DJ Harris,S Dhawan,Deccan Chargers,28
V Sehwag,DA Warner,Delhi Daredevils,4
NV Ojha,MJ Lumb,Rajasthan Royals,16
JH Kallis,MK Pandey,Royal Challengers Bangalore,6
CM Gautam,LMP Simmons,Mumbai Indians,12
G Gambhir,RV Uthappa,Kolkata Knight Riders,50
AC Gilchrist,PC Valthaty,Kings XI Punjab,21
NV Ojha,DA Warner,Delhi Daredevils,52
CM Gautam,LMP Simmons,Mumbai Indians,16
BB McCullum,DR Smith,Chennai Super Kings,29
AC Gilchrist,VVS Laxman,Deccan Chargers,55
M Vijay,ML Hayden,Chennai Super Kings,12
AM Rahane,SS Tiwary,Rising Pune Supergiants,8
PA Patel,RG Sharma,Mumbai Indians,39
G Gambhir,BB McCullum,Kolkata Knight Riders,113
MJ Clarke,RV Uthappa,Pune Warriors,10
AC Gilchrist,Mandeep Singh,Kings XI Punjab,19
MEK Hussey,M Vijay,Chennai Super Kings,139
ST Jayasuriya,SR Tendulkar,Mumbai Indians,38
TM Dilshan,V Sehwag,Delhi Daredevils,38
RV Uthappa,AJ Finch,Pune Warriors,83
AC Gilchrist,Mandeep Singh,Kings XI Punjab,4
V Kohli,CH Gayle,Royal Challengers Bangalore,119
M Vohra,M Vijay,Kings XI Punjab,6
V Sehwag,G Gambhir,Delhi Daredevils,1
RV Uthappa,JH Kallis,Royal Challengers Bangalore,2
S Dhawan,PA Patel,Sunrisers Hyderabad,28
Mandeep Singh,AC Gilchrist,Kings XI Punjab,1
AC Gilchrist,VVS Laxman,Deccan Chargers,43
RS Bopara,MS Bisla,Kings XI Punjab,10
RR Rossouw,YV Takawale,Royal Challengers Bangalore,2
DR Smith,F du Plessis,Chennai Super Kings,57
AC Gilchrist,VVS Laxman,Deccan Chargers,22
Kamran Akmal,GC Smith,Rajasthan Royals,14
HM Amla,M Vijay,Kings XI Punjab,60
AM Rahane,UT Khawaja,Rising Pune Supergiants,35
K Goel,JR Hopes,Kings XI Punjab,34
M Kaif,Kamran Akmal,Rajasthan Royals,6
J Arunkumar,V Kohli,Royal Challengers Bangalore,4
JR Hopes,SE Marsh,Kings XI Punjab,42
DA Warner,V Sehwag,Delhi Daredevils,35
PA Patel,ML Hayden,Chennai Super Kings,21
JR Hopes,SE Marsh,Kings XI Punjab,1
ST Jayasuriya,SR Tendulkar,Mumbai Indians,36
SE Marsh,DPMD Jayawardene,Kings XI Punjab,1
AC Gilchrist,MD Mishra,Deccan Chargers,13
MK Tiwary,BJ Hodge,Kolkata Knight Riders,0
VVS Laxman,AC Gilchrist,Deccan Chargers,61
Mandeep Singh,AC Gilchrist,Kings XI Punjab,0
R Dravid,AM Rahane,Rajasthan Royals,5
AC Gilchrist,HH Gibbs,Deccan Chargers,63
ST Jayasuriya,SR Tendulkar,Mumbai Indians,4
MEK Hussey,M Vijay,Chennai Super Kings,77
R Dravid,SR Watson,Rajasthan Royals,27
BB McCullum,M Klinger,Kochi Tuskers Kerala,6
JH Kallis,EJG Morgan,Kolkata Knight Riders,69
KC Sangakkara,S Dhawan,Deccan Chargers,37
BB McCullum,G Gambhir,Kolkata Knight Riders,16
SR Watson,AM Rahane,Rajasthan Royals,10
TM Dilshan,CH Gayle,Royal Challengers Bangalore,53
BB McCullum,VVS Laxman,Kochi Tuskers Kerala,0
JD Ryder,GC Smith,Pune Warriors,31
SR Tendulkar,DR Smith,Mumbai Indians,40
M Vijay,MEK Hussey,Chennai Super Kings,9
JD Ryder,MK Pandey,Pune Warriors,0
V Sehwag,DPMD Jayawardene,Delhi Daredevils,22
DA Warner,S Dhawan,Sunrisers Hyderabad,0
AM Rahane,F du Plessis,Rising Pune Supergiants,0
MP Stoinis,M Vijay,Kings XI Punjab,65
BB McCullum,DR Smith,Gujarat Lions,13
G Gambhir,V Sehwag,Delhi Daredevils,0
PA Patel,ML Hayden,Chennai Super Kings,57
Mandeep Singh,AC Gilchrist,Kings XI Punjab,2
GJ Maxwell,AP Tare,Mumbai Indians,0
SE Marsh,MS Bisla,Kings XI Punjab,3
JH Kallis,MK Pandey,Royal Challengers Bangalore,28
SP Goswami,JH Kallis,Royal Challengers Bangalore,15
MK Tiwary,BJ Hodge,Kolkata Knight Riders,101
PC Valthaty,AC Gilchrist,Kings XI Punjab,32
JH Kallis,EJG Morgan,Kolkata Knight Riders,5
