Name,Runs,Wickets,Balls,Strike_rate,Avg,zeroes,ones,twos,threes,fours,sixes,batting_style
SV Samson,1039,41,890,116.7415730337,25.3414634146,312,352,62,5,80,38,Right-hand bat
SN Thakur,7,0,6,116.6666666667,7,2,3,0,0,1,0,Right-hand bat
HH Pandya,156,12,134,116.4179104478,13,50,46,5,0,13,8,Right-hand bat
Sohail Tanvir,36,3,31,116.1290322581,12,8,14,2,0,3,1,Left-hand bat
IK Pathan,1132,52,978,115.7464212679,21.7692307692,324,399,76,2,87,37,Left-hand bat
S Badrinath,1439,48,1245,115.5823293173,29.9791666667,447,482,85,1,154,28,Right-hand bat
SS Iyer,469,19,406,115.5172413793,24.6842105263,175,129,18,0,43,22,Right-hand bat
T Taibu,30,3,26,115.3846153846,10,7,8,5,0,3,0,Right-hand bat
SA Abbott,15,1,13,115.3846153846,15,6,3,1,0,1,1,Right-hand bat
MM Sharma,61,7,53,115.0943396226,8.7142857143,17,18,3,1,4,3,Right-hand bat
DB Ravi Teja,374,20,325,115.0769230769,18.7,105,135,18,3,35,9,Right-hand bat
TL Suman,675,30,587,114.9914821124,22.5,226,204,43,3,55,26,Right-hand bat
MK Pandey,1809,69,1574,114.9301143583,26.2173913043,573,609,96,6,167,52,Right-hand bat
SS Tiwary,1224,43,1065,114.9295774648,28.4651162791,361,448,82,2,84,45,Left-hand bat
NV Ojha,1467,69,1279,114.6989835809,21.2608695652,550,403,54,8,119,76,Right-hand bat
DT Christian,341,17,299,114.0468227425,20.0588235294,82,147,21,2,17,13,Right-hand bat
SP Fleming,195,9,171,114.0350877193,21.6666666667,78,41,11,2,27,3,Left-hand bat
R Sathish,269,16,236,113.9830508475,16.8125,77,88,24,3,22,6,Right-hand bat
SR Tendulkar,2325,70,2041,113.9147476727,33.2142857143,805,718,117,7,296,28,Right-hand bat
DB Das,304,12,267,113.8576779026,25.3333333333,112,92,12,0,23,16,Right-hand bat
RS Bopara,531,19,468,113.4615384615,27.9473684211,156,204,27,7,39,16,Right-hand bat
Y Venugopal Rao,980,42,865,113.2947976879,23.3333333333,318,336,53,1,77,37,Right-hand bat
R Dravid,2172,77,1918,113.2429614181,28.2077922078,744,679,118,1,269,28,Right-hand bat
AM Nayar,659,39,583,113.0360205832,16.8974358974,196,227,46,1,53,20,Left-hand bat
AP Majumdar,87,4,77,112.987012987,21.75,24,33,7,0,7,2,Right-hand bat
LR Shukla,403,29,358,112.5698324022,13.8965517241,125,135,20,0,33,16,Right-hand bat
S Anirudha,136,8,121,112.3966942149,17,46,44,7,0,9,7,Right-hand bat
AS Raut,193,11,172,112.2093023256,17.5454545455,57,72,9,3,13,7,Right-hand bat
Salman Butt,193,7,172,112.2093023256,27.5714285714,79,47,7,0,30,2,Left-hand bat
RE Levi,83,6,74,112.1621621622,13.8333333333,35,19,0,0,10,4,Right-hand bat
MR Marsh,225,12,201,111.9402985075,18.75,72,83,11,0,9,14,Right-hand bat
AB Agarkar,179,8,160,111.875,22.375,52,67,15,0,13,5,Right-hand bat
R Dhawan,151,7,135,111.8518518519,21.5714285714,50,48,12,1,13,4,Right-hand bat
J Botha,407,22,364,111.8131868132,18.5,118,141,37,2,39,5,Right-hand bat
R Bishnoi,19,3,17,111.7647058824,6.3333333333,8,3,0,0,1,2,Right-hand bat
LA Carseldine,77,3,69,111.5942028986,25.6666666667,28,22,4,1,11,0,Left-hand bat
VH Zol,29,2,26,111.5384615385,14.5,11,7,2,0,3,1,Left-hand bat
MD Mishra,237,15,213,111.2676056338,15.8,87,65,14,0,24,8,Right-hand bat
BR Dunk,40,3,36,111.1111111111,13.3333333333,17,6,3,0,7,0,Left-hand bat
KAJ Roach,10,1,9,111.1111111111,10,2,4,1,0,1,0,Right-hand bat
RR Raje,20,1,18,111.1111111111,20,5,10,0,0,1,1,Right-hand bat
S Rana,91,5,82,110.9756097561,18.2,28,29,10,0,9,1,Right-hand bat
WPUJC Vaas,81,7,73,110.9589041096,11.5714285714,17,33,11,0,2,3,Left-hand bat
PP Chawla,511,41,461,110.8459869848,12.4634146341,164,159,33,0,49,15,Left-hand bat
TM Dilshan,1152,41,1047,110.0286532951,28.0975609756,452,334,54,2,140,24,Right-hand bat
