Batsman,Bowler,Zero,One,Two,Three,Four,Five,Six,Wicket,Total,batting_style,bowling_arm,bowling_style,Bowls played,Strike Rate,Average
JA Morkel,KA Pollard,6,6,0,0,0,0,0,1,6,Left-hand bat,Right-arm,medium-fast,13,46.15384615,6
JA Morkel,DW Steyn,5,5,0,0,1,0,0,2,9,Left-hand bat,Right-arm,fast,13,69.23076923,4.5
JA Morkel,SR Watson,11,5,2,0,1,0,1,1,19,Left-hand bat,Right-arm,fast-medium,21,90.47619048,19
JA Morkel,NLTC Perera,0,2,0,0,0,0,0,0,2,Left-hand bat,Right-arm,medium-fast,2,100,2
JA Morkel,AB Agarkar,3,3,0,0,1,0,2,0,19,Left-hand bat,Right-arm,fast,9,211.1111111,19
JA Morkel,R Vinay Kumar,1,6,2,0,2,0,1,2,24,Left-hand bat,Right-arm,medium,14,171.4285714,12
JA Morkel,P Kumar,6,11,0,0,2,0,0,1,19,Left-hand bat,Right-arm,medium,20,95,19
JA Morkel,V Kohli,0,0,1,0,2,0,3,0,28,Left-hand bat,Right-arm,medium,6,466.6666667,28
JA Morkel,IC Pandey,5,4,2,0,2,0,0,0,16,Left-hand bat,Right-arm,medium,13,123.0769231,16
JA Morkel,DP Vijaykumar,0,1,0,0,0,0,0,0,1,Left-hand bat,Right-arm,medium,1,100,1
JA Morkel,SK Trivedi,3,2,0,0,0,0,0,0,2,Left-hand bat,Right-arm,medium,5,40,2
T Thushara,RJ Harris,1,1,1,0,0,0,0,1,3,Left-hand bat,Right-arm,fast,4,75,3
T Thushara,SK Trivedi,1,2,0,0,0,0,0,0,2,Left-hand bat,Right-arm,medium,3,66.66666667,2
T Thushara,SL Malinga,2,1,0,0,0,0,0,0,1,Left-hand bat,Right-arm,fast,3,33.33333333,1
T Thushara,B Lee,4,0,0,0,0,0,0,0,0,Left-hand bat,Right-arm,fast,4,0,0
T Thushara,Harmeet Singh,1,1,2,0,0,0,0,0,5,Left-hand bat,Right-arm,medium,4,125,5
T Thushara,IK Pathan,0,0,0,0,0,0,0,1,0,Left-hand bat,Left-arm,medium-fast,1,0,0
V Sehwag,JA Morkel,20,13,1,0,8,0,2,1,59,Right-hand bat,Right-arm,medium-fast,45,131.1111111,59
V Sehwag,DJ Muthuswami,0,3,0,0,0,0,0,0,3,Right-hand bat,Right-arm,medium,3,100,3
V Sehwag,AC Thomas,5,2,0,0,1,0,0,1,6,Right-hand bat,Right-arm,fast-medium,9,66.66666667,6
V Sehwag,AB McDonald,0,0,0,0,0,0,0,1,0,Right-hand bat,Right-arm,fast-medium,1,0,0
V Sehwag,MJ McClenaghan,2,2,0,0,0,0,0,0,2,Right-hand bat,Left-arm,fast-medium,4,50,2
V Sehwag,MS Gony,5,7,2,1,4,0,2,2,42,Right-hand bat,Right-arm,medium,23,182.6086957,21
V Sehwag,NM Coulter-Nile,10,1,0,0,1,0,0,0,5,Right-hand bat,Right-arm,fast,12,41.66666667,5
V Sehwag,CH Morris,4,0,2,0,1,0,0,0,8,Right-hand bat,Right-arm,fast-medium,7,114.2857143,8
V Sehwag,RJ Harris,7,2,4,0,2,0,0,0,18,Right-hand bat,Right-arm,fast,15,120,18
V Sehwag,DJ Bravo,1,5,0,0,1,0,0,1,9,Right-hand bat,Right-arm,medium-fast,8,112.5,9
V Sehwag,Azhar Mahmood,2,2,0,0,1,0,0,0,6,Right-hand bat,Right-arm,fast-medium,5,120,6
V Sehwag,A Singh,5,4,3,0,3,0,0,0,22,Right-hand bat,Right-arm,medium-fast,15,146.6666667,22
V Sehwag,P Parameswaran,1,0,0,0,0,0,1,1,6,Right-hand bat,Left-arm,medium,3,200,6
