Name,Runs,Wickets,Balls,Strike_rate,Avg,batting_style
RS Gavaskar,2,1,8,25.0,2.0,Left-hand bat
P Dogra,127,12,141,90.0709219858156,10.583333333333334,Right-hand bat
DP Nannes,4,1,13,30.76923076923077,4.0,Right-hand bat
SN Thakur,7,0,6,116.66666666666667,7.0,Right-hand bat
IR Jaggi,43,4,60,71.66666666666667,10.75,Right-hand bat
MS Dhoni,3265,92,2419,134.97312939231088,35.48913043478261,Right-hand bat
AC Voges,179,6,143,125.17482517482517,29.833333333333332,Right-hand bat
CA Lynn,89,4,85,104.70588235294117,22.25,Right-hand bat
GH Vihari,277,18,316,87.65822784810126,15.38888888888889,Right-hand bat
K Upadhyay,12,0,9,133.33333333333334,12.0,Right-hand bat
NS Naik,23,2,33,69.6969696969697,11.5,Right-hand bat
RV Gomez,49,7,53,92.45283018867924,7.0,Right-hand bat
Mohammad Asif,3,2,6,50.0,1.5,Left-hand bat
JJ Bumrah,9,2,15,60.0,4.5,Right-hand bat
S Anirudha,136,8,121,112.39669421487604,17.0,Right-hand bat
Z Khan,111,14,128,86.71875,7.928571428571429,Right-hand bat
J Yadav,6,0,12,50.0,6.0,Right-hand bat
A Kumble,35,2,49,71.42857142857143,17.5,Right-hand bat
SE Bond,1,1,2,50.0,1.0,Right-hand bat
MC Juneja,125,7,134,93.28358208955224,17.857142857142858,Right-hand bat
Jaskaran Singh,8,2,11,72.72727272727273,4.0,Right-hand bat
SW Tait,23,3,26,88.46153846153847,7.666666666666667,Right-hand bat
R Ashwin,229,20,246,93.08943089430895,11.45,Right-hand bat
SA Abbott,15,1,13,115.38461538461539,15.0,Right-hand bat
CL White,953,35,769,123.92717815344604,27.228571428571428,Right-hand bat
NJ Rimmington,1,0,1,100.0,1.0,Right-hand bat
YK Pathan,2749,89,1941,141.62802679031427,30.8876404494382,Right-hand bat
RS Sodhi,4,0,2,200.0,4.0,Right-hand bat
D Kalyankrishna,3,1,8,37.5,3.0,Right-hand bat
AM Rahane,2673,75,2273,117.5978882534096,35.64,Right-hand bat
R Bishnoi,19,3,17,111.76470588235294,6.333333333333333,Right-hand bat
PA Reddy,164,10,167,98.20359281437126,16.4,Right-hand bat
KM Jadhav,626,26,490,127.75510204081633,24.076923076923077,Right-hand bat
D Salunkhe,33,1,24,137.5,33.0,Right-hand bat
Mashrafe Mortaza,2,0,2,100.0,2.0,Right-hand bat
M Vijay,2508,91,2092,119.88527724665391,27.560439560439562,Right-hand bat
SP Goswami,240,15,260,92.3076923076923,16.0,Left-hand bat
R Ninan,3,1,6,50.0,3.0,Right-hand bat
AA Noffke,8,1,12,66.66666666666667,8.0,Right-hand bat
VS Malik,7,1,7,100.0,7.0,Right-hand bat
Sohail Tanvir,36,3,31,116.12903225806451,12.0,Left-hand bat
TR Birt,75,5,59,127.11864406779661,15.0,Left-hand bat
SB Bangar,49,6,58,84.48275862068965,8.166666666666666,Right-hand bat
AD Mascarenhas,78,10,79,98.73417721518987,7.8,Right-hand bat
S Tyagi,3,0,4,75.0,3.0,Right-hand bat
SB Wagh,2,2,3,66.66666666666667,1.0,Left-hand bat
NV Ojha,1467,69,1279,114.6989835809226,21.26086956521739,Right-hand bat
FY Fazal,181,9,179,101.11731843575419,20.11111111111111,Left-hand bat
VS Yeligati,2,1,2,100.0,2.0,Right-hand bat
Mohammad Hafeez,64,8,84,76.19047619047619,8.0,Right-hand bat
Sunny Singh,43,4,31,138.70967741935485,10.75,Right-hand bat
AS Raut,193,11,172,112.20930232558139,17.545454545454547,Right-hand bat
PP Chawla,511,41,461,110.84598698481562,12.463414634146341,Left-hand bat
LA Pomersbach,301,11,251,119.9203187250996,27.363636363636363,Left-hand bat
SS Iyer,469,19,406,115.51724137931035,24.68421052631579,Right-hand bat
AP Dole,34,2,23,147.82608695652175,17.0,Right-hand bat
AS Yadav,49,7,40,122.5,7.0,Right-hand bat
S Dhawan,3067,95,2615,117.2848948374761,32.28421052631579,Left-hand bat
HV Patel,47,8,38,123.6842105263158,5.875,Right-hand bat
DNT Zoysa,11,1,9,122.22222222222223,11.0,Left-hand bat
S Aravind,27,0,19,142.10526315789474,27.0,Left-hand bat
L Ablish,0,0,2,0.0,0.0,Right-hand bat
RR Powar,67,3,64,104.6875,22.333333333333332,Right-hand bat
TG Southee,47,4,33,142.42424242424244,11.75,Right-hand bat
SE Marsh,2211,56,1710,129.2982456140351,39.482142857142854,Left-hand bat
A Symonds,973,26,781,124.58386683738796,37.42307692307692,Right-hand bat
CA Ingram,21,2,26,80.76923076923077,10.5,Left-hand bat
SC Ganguly,1349,54,1326,101.73453996983409,24.98148148148148,Left-hand bat
T Henderson,11,1,16,68.75,11.0,Right-hand bat
K Goel,217,14,239,90.7949790794979,15.5,Left-hand bat
MV Boucher,393,15,318,123.58490566037736,26.2,Right-hand bat
AD Mathews,691,29,571,121.01576182136603,23.82758620689655,Right-hand bat
A Mithun,34,5,26,130.76923076923077,6.8,Right-hand bat
DJ Jacobs,92,7,101,91.08910891089108,13.142857142857142,Right-hand bat
S Kaushik,0,1,1,0.0,0.0,Right-hand bat
R Vinay Kumar,302,26,285,105.96491228070175,11.615384615384615,Right-hand bat
DJ Hooda,293,20,224,130.80357142857142,14.65,Right-hand bat
MN Samuels,131,9,142,92.25352112676056,14.555555555555555,Right-hand bat
DP Vijaykumar,1,0,1,100.0,1.0,Right-hand bat
S Sohal,367,18,311,118.0064308681672,20.38888888888889,Right-hand bat
BE Hendricks,1,1,3,33.333333333333336,1.0,Left-hand bat
AC Thomas,20,2,19,105.26315789473684,10.0,Right-hand bat
MS Gony,99,9,76,130.26315789473685,11.0,Right-hand bat
S Chanderpaul,25,3,33,75.75757575757575,8.333333333333334,Left-hand bat
RJ Quiney,103,7,105,98.0952380952381,14.714285714285714,Left-hand bat
DA Warner,3370,90,2439,138.17138171381714,37.44444444444444,Left-hand bat
EJG Morgan,788,34,663,118.85369532428356,23.176470588235293,Left-hand bat
P Parameswaran,1,0,3,33.333333333333336,1.0,Right-hand bat
KC Sangakkara,1687,69,1424,118.46910112359551,24.44927536231884,Left-hand bat
AT Rayudu,2323,82,1884,123.30148619957536,28.329268292682926,Right-hand bat
SR Tendulkar,2325,70,2041,113.91474767270945,33.214285714285715,Right-hand bat
BCJ Cutting,73,3,43,169.7674418604651,24.333333333333332,Right-hand bat
M Rawat,55,5,70,78.57142857142857,11.0,Right-hand bat
MP Stoinis,146,4,111,131.53153153153153,36.5,Right-hand bat
Younis Khan,3,1,7,42.857142857142854,3.0,Right-hand bat
AB Barath,42,2,43,97.67441860465117,21.0,Right-hand bat
MN van Wyk,167,3,135,123.70370370370371,55.666666666666664,Right-hand bat
AUK Pathan,39,5,26,150.0,7.8,Right-hand bat
PSP Handscomb,6,1,12,50.0,6.0,Right-hand bat
AD Russell,563,20,345,163.18840579710144,28.15,Right-hand bat
AA Bilakhia,69,5,88,78.4090909090909,13.8,Right-hand bat
CJ Anderson,379,12,284,133.45070422535213,31.583333333333332,Left-hand bat
VH Zol,29,2,26,111.53846153846153,14.5,Left-hand bat
S Badrinath,1439,48,1245,115.58232931726907,29.979166666666668,Right-hand bat
KC Cariappa,13,1,11,118.18181818181819,13.0,Right-hand bat
PM Sarvesh Kumar,1,0,2,50.0,1.0,Right-hand bat
NL McCullum,25,3,23,108.69565217391305,8.333333333333334,Right-hand bat
Karanveer Singh,12,1,17,70.58823529411765,12.0,Right-hand bat
