id,name,role,batting_style,bowls,nationality,dob,debut,info,current_team
2972,Rishabh Pant,Wicketkeeper-batsman ,Left-handed,None,Indian,1997/10/04,-1,None,Delhi Daredevils
2975,Ishan Kishan,None,None,None,Indian,1998/07/18,-1,None,Gujarat Lions
3177,Akshdeep Nath,All-rounder,Right-hand bat,Right-arm medium-fast,Indian,1993/05/10,-1,None,Gujarat Lions
3178,Shivil Kaushik,None,None,None,Indian,1995/07/09,-1,None,Gujarat Lions
3179,Umang Sharma,None,None,None,Indian,1989/10/20,-1,None,Gujarat Lions
3180,Swapnil Singh,Bowling all-rounder,Right-handed,Left-arm spin,Indian,1991/01/22,-1,None,Kings XI Punjab
3181,Manan Sharma,All -rounder,Left-hand bat,left-arm spin,Indian,1991/03/19,-1,None,Kolkata Knight Riders
3182,Kishore Kamath,All-rounder,Right-handed,Right-arm leg spin,Indian,1995/01/31,-1,None,Mumbai Indians
3183,Krunal Pandya,All-rounder,Left-hand bat,Left-arm orthodox,Indian,1991/03/24,-1,None,Mumbai Indians
3184,Deepak Punia,Bowler,Right-handed,Right-arm medium,Indian,1993/09/27,-1,None,Mumbai Indians
3185,Jitesh Sharma,Wicketkeeper-batsman,Right-handed,None,Indian,1993/10/22,-1,None,Mumbai Indians
3186,Nathu Singh,None,None,None,Indian,1995/09/08,-1,None,Mumbai Indians
3187,Murugan Ashwin,Legbreak googly,Right-handed,leg-break,Indian,1990/09/08,-1,None,Rising Pune Supergiants
3188,Praveen Dubey,Bowling all-rounder,Right-handed,None,Indian,1993/07/01,-1,None,Royal Challengers Bangalore
3189,Akshay Karnewar,None,None,None,Indian,1992/10/12,-1,None,Royal Challengers Bangalore
3190,Vikas Tokas,None,None,None,Indian,1986/10/16,-1,None,Royal Challengers Bangalore
3309,Tabraiz Shamsi,Bowler,None,Left-Arm Chinaman,South African,1990/02/18,-1,None,Royal Challengers Bangalore
