"Kolkata Knight Riders","2015","13","121","1","69","10.521739130434783","0.08695652173913043"
"Royal Challengers Bangalore","2011","3","159","3","102","9.352941176470589","0.17647058823529413"
"Delhi Daredevils","2015","10","110","2","85","7.764705882352941","0.1411764705882353"
"Delhi Daredevils","2008","20","55","4","35","9.428571428571429","0.6857142857142857"
"Chennai Super Kings","2012","19","222","8","100","13.32","0.48"
"Chennai Super Kings","2015","11","112","2","104","6.461538461538462","0.11538461538461539"
"Sunrisers Hyderabad","2015","18","119","8","78","9.153846153846153","0.6153846153846154"
"Mumbai Indians","2013","3","138","2","118","7.016949152542373","0.1016949152542373"
"Kings XI Punjab","2011","5","116","4","90","7.733333333333333","0.26666666666666666"
"Rajasthan Royals","2015","18","128","9","82","9.365853658536585","0.6585365853658537"
"Rajasthan Royals","2014","16","107","6","79","8.126582278481013","0.45569620253164556"
"Kolkata Knight Riders","2010","3","101","8","90","6.733333333333333","0.5333333333333333"
"Delhi Daredevils","2012","6","159","6","110","8.672727272727272","0.32727272727272727"
"Mumbai Indians","2016","20","78","7","49","9.551020408163266","0.8571428571428571"
"Kings XI Punjab","2015","15","106","3","76","8.368421052631579","0.23684210526315788"
"Pune Warriors","2013","1","101","3","100","6.06","0.18"
"Chennai Super Kings","2011","6","122","4","99","7.393939393939394","0.24242424242424243"
"Deccan Chargers","2010","5","123","10","102","7.235294117647059","0.5882352941176471"
"Mumbai Indians","2008","6","125","4","84","8.928571428571429","0.2857142857142857"
"Kolkata Knight Riders","2014","16","145","8","91","9.56043956043956","0.5274725274725275"
"Royal Challengers Bangalore","2008","4","105","3","85","7.411764705882353","0.21176470588235294"
"Delhi Daredevils","2008","9","118","2","87","8.137931034482758","0.13793103448275862"
"Delhi Daredevils","2009","17","142","7","90","9.466666666666667","0.4666666666666667"
"Chennai Super Kings","2015","20","121","10","85","8.541176470588235","0.7058823529411765"
"Chennai Super Kings","2014","14","142","1","97","8.783505154639176","0.061855670103092786"
"Kings XI Punjab","2010","8","109","3","87","7.517241379310345","0.20689655172413793"
"Rajasthan Royals","2009","15","102","4","82","7.463414634146342","0.2926829268292683"
"Kolkata Knight Riders","2009","4","103","2","81","7.62962962962963","0.14814814814814814"
"Delhi Daredevils","2013","7","99","4","99","6.0","0.24242424242424243"
"Kings XI Punjab","2015","6","111","6","90","7.4","0.4"
"Mumbai Indians","2012","9","113","10","106","6.39622641509434","0.5660377358490566"
"Mumbai Indians","2013","17","201","6","120","10.05","0.3"
"Pune Warriors","2012","4","132","7","100","7.92","0.42"
"Royal Challengers Bangalore","2014","20","127","8","71","10.732394366197184","0.676056338028169"
"Delhi Daredevils","2016","11","92","2","86","6.4186046511627906","0.13953488372093023"
"Mumbai Indians","2009","3","82","3","86","5.72093023255814","0.20930232558139536"
"Kolkata Knight Riders","2013","15","94","5","99","5.696969696969697","0.30303030303030304"
"Kings XI Punjab","2016","19","104","8","74","8.432432432432432","0.6486486486486487"
"Royal Challengers Bangalore","2009","13","106","4","97","6.556701030927835","0.24742268041237114"
"Delhi Daredevils","2009","12","94","2","85","6.635294117647059","0.1411764705882353"
"Delhi Daredevils","2010","18","119","2","76","9.394736842105264","0.15789473684210525"
"Chennai Super Kings","2009","13","101","7","86","7.046511627906977","0.4883720930232558"
"Kings XI Punjab","2009","7","84","7","86","5.8604651162790695","0.4883720930232558"
"Rajasthan Royals","2008","14","147","3","98","9.0","0.1836734693877551"
"Kolkata Knight Riders","2008","5","91","5","79","6.9113924050632916","0.379746835443038"
"Delhi Daredevils","2014","8","96","2","86","6.6976744186046515","0.13953488372093023"
"Chennai Super Kings","2013","7","105","4","111","5.675675675675675","0.21621621621621623"
"Sunrisers Hyderabad","2014","12","91","4","79","6.9113924050632916","0.3037974683544304"
"Kings XI Punjab","2013","13","129","2","94","8.23404255319149","0.1276595744680851"
"Royal Challengers Bangalore","2014","9","97","5","85","6.847058823529411","0.35294117647058826"
"Royal Challengers Bangalore","2015","17","122","8","70","10.457142857142857","0.6857142857142857"
"Kings XI Punjab","2016","5","134","3","90","8.933333333333334","0.2"
"Deccan Chargers","2008","11","139","1","87","9.586206896551724","0.06896551724137931"
"Kochi Tuskers Kerala","2011","14","86","5","85","6.070588235294117","0.35294117647058826"
"Mumbai Indians","2014","4","106","3","97","6.556701030927835","0.18556701030927836"
"Kings XI Punjab","2016","10","94","2","84","6.714285714285714","0.14285714285714285"
"Delhi Daredevils","2010","11","96","4","87","6.620689655172414","0.27586206896551724"
"Chennai Super Kings","2008","16","116","4","86","8.093023255813954","0.27906976744186046"
"Gujarat Lions","2016","11","117","5","97","7.237113402061856","0.30927835051546393"
"Kings XI Punjab","2008","10","110","1","85","7.764705882352941","0.07058823529411765"
"Pune Warriors","2011","14","100","4","76","7.894736842105263","0.3157894736842105"
"Rajasthan Royals","2011","13","105","3","79","7.974683544303797","0.22784810126582278"
"Kolkata Knight Riders","2015","6","115","4","83","8.313253012048193","0.2891566265060241"
"Delhi Daredevils","2015","1","64","3","92","4.173913043478261","0.1956521739130435"
"Chennai Super Kings","2012","6","153","5","112","8.196428571428571","0.26785714285714285"
"Sunrisers Hyderabad","2015","9","107","3","88","7.295454545454546","0.20454545454545456"
"Kings XI Punjab","2012","12","117","6","98","7.163265306122449","0.3673469387755102"
"Kolkata Knight Riders","2011","16","98","4","76","7.7368421052631575","0.3157894736842105"
"Royal Challengers Bangalore","2015","12","110","5","67","9.850746268656716","0.44776119402985076"
"Royal Challengers Bangalore","2012","18","168","8","95","10.610526315789473","0.5052631578947369"
"Mumbai Indians","2016","5","89","5","87","6.137931034482759","0.3448275862068966"
"Royal Challengers Bangalore","2016","3","115","1","99","6.96969696969697","0.06060606060606061"
"Kings XI Punjab","2015","8","99","5","87","6.827586206896552","0.3448275862068966"
"Delhi Daredevils","2011","6","115","4","93","7.419354838709677","0.25806451612903225"
"Chennai Super Kings","2011","15","152","4","98","9.306122448979592","0.24489795918367346"
"Rajasthan Royals","2010","20","106","14","67","9.492537313432836","1.2537313432835822"
"Kolkata Knight Riders","2014","7","137","4","100","8.22","0.24"
"Delhi Daredevils","2008","2","126","5","91","8.307692307692308","0.32967032967032966"
"Chennai Super Kings","2015","5","161","4","105","9.2","0.22857142857142856"
"Kings XI Punjab","2011","11","130","7","90","8.666666666666666","0.4666666666666667"
"Kolkata Knight Riders","2010","13","147","2","92","9.58695652173913","0.13043478260869565"
"Royal Challengers Bangalore","2012","11","110","2","93","7.096774193548387","0.12903225806451613"
"Mumbai Indians","2012","2","94","7","111","5.081081081081081","0.3783783783783784"
"Pune Warriors","2013","15","109","2","99","6.606060606060606","0.12121212121212122"
"Rajasthan Royals","2013","2","112","2","110","6.109090909090909","0.10909090909090909"
"Chennai Super Kings","2010","18","138","6","92","9.0","0.391304347826087"
"Kolkata Knight Riders","2016","6","105","2","86","7.325581395348837","0.13953488372093023"
"Rising Pune Supergiants","2016","13","91","2","72","7.583333333333333","0.16666666666666666"
"Rajasthan Royals","2010","11","90","7","87","6.206896551724138","0.4827586206896552"
"Kolkata Knight Riders","2013","8","91","9","97","5.628865979381444","0.5567010309278351"
"Royal Challengers Bangalore","2009","20","123","11","69","10.695652173913043","0.9565217391304348"
"Delhi Daredevils","2009","3","131","5","92","8.543478260869565","0.32608695652173914"
"Chennai Super Kings","2014","4","172","2","100","10.32","0.12"
"Sunrisers Hyderabad","2013","15","122","6","98","7.469387755102041","0.3673469387755102"
"Kings XI Punjab","2010","10","125","1","85","8.823529411764707","0.07058823529411765"
"Kolkata Knight Riders","2009","14","75","4","76","5.921052631578948","0.3157894736842105"
"Kolkata Knight Riders","2008","20","115","6","55","12.545454545454545","0.6545454545454545"
"Royal Challengers Bangalore","2013","14","133","6","92","8.673913043478262","0.391304347826087"
"Chennai Super Kings","2013","16","164","6","98","10.040816326530612","0.3673469387755102"
"Sunrisers Hyderabad","2014","1","102","2","89","6.876404494382022","0.1348314606741573"
"Mumbai Indians","2013","15","166","3","114","8.736842105263158","0.15789473684210525"
"Pune Warriors","2012","14","107","3","97","6.618556701030927","0.18556701030927836"
"Rajasthan Royals","2012","3","134","0","97","8.288659793814434","0.0"
"Royal Challengers Bangalore","2014","2","56","6","85","3.9529411764705884","0.4235294117647059"
"Chennai Super Kings","2010","9","102","7","97","6.309278350515464","0.4329896907216495"
"Deccan Chargers","2008","18","156","11","79","11.848101265822784","0.8354430379746836"
"Kochi Tuskers Kerala","2011","5","97","4","87","6.689655172413793","0.27586206896551724"
"Kolkata Knight Riders","2012","9","123","2","105","7.0285714285714285","0.11428571428571428"
"Delhi Daredevils","2010","4","112","11","88","7.636363636363637","0.75"
"Chennai Super Kings","2009","3","121","2","86","8.44186046511628","0.13953488372093023"
"Gujarat Lions","2016","2","108","6","101","6.415841584158416","0.3564356435643564"
"Deccan Chargers","2012","4","125","4","96","7.8125","0.25"
"Mumbai Indians","2010","11","90","6","97","5.56701030927835","0.3711340206185567"
"Kings XI Punjab","2009","9","98","4","85","6.91764705882353","0.2823529411764706"
"Kings XI Punjab","2008","17","125","5","83","9.036144578313253","0.3614457831325301"
"Pune Warriors","2011","7","62","2","78","4.769230769230769","0.15384615384615385"
"Kolkata Knight Riders","2008","11","93","1","79","7.063291139240507","0.0759493670886076"
"Kolkata Knight Riders","2015","19","92","2","53","10.415094339622641","0.22641509433962265"
"Royal Challengers Bangalore","2010","13","141","1","92","9.195652173913043","0.06521739130434782"
"Chennai Super Kings","2012","13","120","5","109","6.605504587155964","0.27522935779816515"
"Sunrisers Hyderabad","2015","4","122","3","87","8.413793103448276","0.20689655172413793"
"Mumbai Indians","2013","16","151","8","119","7.61344537815126","0.40336134453781514"
"Kings XI Punjab","2012","3","98","5","100","5.88","0.3"
"Rajasthan Royals","2015","4","121","2","79","9.189873417721518","0.1518987341772152"
"Kolkata Knight Riders","2011","5","96","4","90","6.4","0.26666666666666666"
"Royal Challengers Bangalore","2015","3","166","5","94","10.595744680851064","0.3191489361702128"
"Delhi Daredevils","2012","20","81","10","51","9.529411764705882","1.1764705882352942"
"Mumbai Indians","2016","14","115","3","86","8.023255813953488","0.20930232558139536"
"Sunrisers Hyderabad","2016","8","119","2","105","6.8","0.11428571428571428"
"Royal Challengers Bangalore","2016","12","118","6","98","7.224489795918367","0.3673469387755102"
"Delhi Daredevils","2016","1","94","3","90","6.266666666666667","0.2"
"Delhi Daredevils","2011","13","122","3","80","9.15","0.225"
"Chennai Super Kings","2008","2","137","1","101","8.138613861386139","0.0594059405940594"
"Deccan Chargers","2011","3","108","4","85","7.623529411764705","0.2823529411764706"
"Kings XI Punjab","2014","7","134","4","106","7.584905660377358","0.22641509433962265"
"Mumbai Indians","2011","10","103","3","99","6.242424242424242","0.18181818181818182"
"Kings XI Punjab","2008","8","134","3","94","8.553191489361701","0.19148936170212766"
"Kolkata Knight Riders","2015","12","80","4","73","6.575342465753424","0.3287671232876712"
"Kolkata Knight Riders","2014","18","151","5","89","10.179775280898877","0.33707865168539325"
"Royal Challengers Bangalore","2011","16","143","2","89","9.640449438202246","0.1348314606741573"
"Chennai Super Kings","2015","14","134","4","104","7.730769230769231","0.23076923076923078"
"Kings XI Punjab","2015","16","125","2","75","10.0","0.16"
"Kings XI Punjab","2011","4","98","6","88","6.681818181818182","0.4090909090909091"
"Rajasthan Royals","2014","5","98","2","89","6.606741573033708","0.1348314606741573"
"Kolkata Knight Riders","2010","8","82","1","87","5.655172413793103","0.06896551724137931"
"Royal Challengers Bangalore","2012","4","115","3","93","7.419354838709677","0.1935483870967742"
"Delhi Daredevils","2012","9","163","3","111","8.81081081081081","0.16216216216216217"
"Delhi Daredevils","2013","17","146","10","104","8.423076923076923","0.5769230769230769"
"Mumbai Indians","2015","8","101","1","99","6.121212121212121","0.06060606060606061"
"Pune Warriors","2013","8","103","3","99","6.242424242424242","0.18181818181818182"
"Chennai Super Kings","2011","1","61","5","101","3.623762376237624","0.297029702970297"
"Deccan Chargers","2010","2","169","3","106","9.566037735849056","0.16981132075471697"
"Kolkata Knight Riders","2016","13","107","1","85","7.552941176470588","0.07058823529411765"
"Mumbai Indians","2008","9","86","4","83","6.216867469879518","0.2891566265060241"
"Mumbai Indians","2009","17","113","3","75","9.04","0.24"
"Rajasthan Royals","2010","2","94","2","89","6.337078651685394","0.1348314606741573"
"Kolkata Knight Riders","2014","9","127","3","97","7.855670103092783","0.18556701030927836"
"Kolkata Knight Riders","2013","17","147","5","100","8.82","0.3"
"Royal Challengers Bangalore","2008","15","101","5","87","6.9655172413793105","0.3448275862068966"
"Chennai Super Kings","2014","11","116","6","97","7.175257731958763","0.3711340206185567"
"Sunrisers Hyderabad","2013","6","131","4","107","7.345794392523365","0.22429906542056074"
"Kings XI Punjab","2010","1","93","3","92","6.065217391304348","0.1956521739130435"
"Rajasthan Royals","2014","20","116","8","63","11.047619047619047","0.7619047619047619"
"Rajasthan Royals","2009","6","91","3","80","6.825","0.225"
"Kolkata Knight Riders","2009","7","60","1","81","4.444444444444445","0.07407407407407407"
"Royal Challengers Bangalore","2013","5","172","4","98","10.53061224489796","0.24489795918367346"
"Delhi Daredevils","2013","12","115","5","100","6.9","0.3"
"Delhi Daredevils","2014","18","154","5","81","11.407407407407407","0.37037037037037035"
"Kings XI Punjab","2016","15","115","4","82","8.414634146341463","0.2926829268292683"
"Kolkata Knight Riders","2016","12","106","2","87","7.310344827586207","0.13793103448275862"
"Pune Warriors","2012","5","114","3","100","6.84","0.18"
"Kolkata Knight Riders","2012","10","127","3","104","7.326923076923077","0.17307692307692307"
"Deccan Chargers","2009","1","131","3","100","7.86","0.18"
"Mumbai Indians","2009","16","107","6","85","7.552941176470588","0.4235294117647059"
"Mumbai Indians","2014","18","101","8","88","6.886363636363637","0.5454545454545454"
"Deccan Chargers","2010","15","127","5","103","7.398058252427185","0.2912621359223301"
"Kolkata Knight Riders","2013","10","107","1","97","6.618556701030927","0.061855670103092786"
"Royal Challengers Bangalore","2009","2","103","5","104","5.9423076923076925","0.28846153846153844"
"Chennai Super Kings","2014","18","156","3","97","9.649484536082474","0.18556701030927836"
"Chennai Super Kings","2009","12","106","1","87","7.310344827586207","0.06896551724137931"
"Mumbai Indians","2010","4","159","5","110","8.672727272727272","0.2727272727272727"
"Kings XI Punjab","2009","2","89","3","90","5.933333333333334","0.2"
"Rajasthan Royals","2009","19","76","3","69","6.608695652173913","0.2608695652173913"
"Rajasthan Royals","2008","7","131","6","105","7.485714285714286","0.34285714285714286"
"Kolkata Knight Riders","2008","2","106","3","84","7.571428571428571","0.21428571428571427"
"Royal Challengers Bangalore","2010","6","155","2","101","9.207920792079207","0.1188118811881188"
"Delhi Daredevils","2014","11","122","1","84","8.714285714285714","0.07142857142857142"
"Sunrisers Hyderabad","2014","15","136","3","83","9.831325301204819","0.21686746987951808"
"Royal Challengers Bangalore","2014","16","151","3","83","10.91566265060241","0.21686746987951808"
"Sunrisers Hyderabad","2016","17","131","6","101","7.782178217821782","0.3564356435643564"
"Deccan Chargers","2008","16","108","1","80","8.1","0.075"
"Kochi Tuskers Kerala","2011","19","94","9","61","9.245901639344263","0.8852459016393442"
"Mumbai Indians","2014","15","128","5","89","8.629213483146067","0.33707865168539325"
"Delhi Daredevils","2016","10","109","7","87","7.517241379310345","0.4827586206896552"
"Kolkata Knight Riders","2012","7","116","5","106","6.566037735849057","0.2830188679245283"
"Pune Warriors","2011","9","80","6","79","6.075949367088608","0.45569620253164556"
"Delhi Daredevils","2011","20","115","7","65","10.615384615384615","0.6461538461538462"
"Chennai Super Kings","2009","17","138","5","85","9.741176470588234","0.35294117647058826"
"Chennai Super Kings","2008","9","112","7","90","7.466666666666667","0.4666666666666667"
"Mumbai Indians","2011","1","108","0","98","6.612244897959184","0.0"
"Kings XI Punjab","2008","15","142","5","86","9.906976744186046","0.3488372093023256"
"Rajasthan Royals","2008","18","101","8","72","8.416666666666666","0.6666666666666666"
"Rajasthan Royals","2011","8","103","4","80","7.725","0.3"
"Kolkata Knight Riders","2015","1","85","2","84","6.071428571428571","0.14285714285714285"
"Royal Challengers Bangalore","2011","7","92","5","99","5.575757575757576","0.30303030303030304"
"Delhi Daredevils","2015","14","119","8","88","8.113636363636363","0.5454545454545454"
"Sunrisers Hyderabad","2015","14","91","1","81","6.7407407407407405","0.07407407407407407"
"Royal Challengers Bangalore","2015","13","93","1","71","7.859154929577465","0.08450704225352113"
"Delhi Daredevils","2012","2","155","3","114","8.157894736842104","0.15789473684210525"
"Rajasthan Royals","2008","12","141","9","102","8.294117647058824","0.5294117647058824"
"Kings XI Punjab","2015","11","84","3","78","6.461538461538462","0.23076923076923078"
"Rising Pune Supergiants","2016","7","106","1","87","7.310344827586207","0.06896551724137931"
"Chennai Super Kings","2008","20","146","8","73","12.0","0.6575342465753424"
"Chennai Super Kings","2011","10","119","3","96","7.4375","0.1875"
"Mumbai Indians","2008","2","138","1","92","9.0","0.06521739130434782"
"Rajasthan Royals","2011","17","63","2","61","6.19672131147541","0.19672131147540983"
"Kolkata Knight Riders","2014","4","122","2","97","7.546391752577319","0.12371134020618557"
"Royal Challengers Bangalore","2008","8","95","4","86","6.627906976744186","0.27906976744186046"
"Delhi Daredevils","2008","13","122","2","81","9.037037037037036","0.14814814814814814"
"Royal Challengers Bangalore","2012","14","152","2","96","9.5","0.125"
"Royal Challengers Bangalore","2013","20","167","9","73","13.726027397260275","0.7397260273972602"
"Delhi Daredevils","2013","3","127","4","100","7.62","0.24"
"Mumbai Indians","2012","13","132","3","105","7.542857142857143","0.17142857142857143"
"Rajasthan Royals","2013","5","142","4","112","7.607142857142857","0.21428571428571427"
"Chennai Super Kings","2011","19","163","6","92","10.630434782608695","0.391304347826087"
"Kolkata Knight Riders","2016","3","147","5","93","9.483870967741936","0.3225806451612903"
"Mumbai Indians","2009","7","68","0","80","5.1","0.0"
"Rajasthan Royals","2010","16","94","4","79","7.139240506329114","0.3037974683544304"
"Kolkata Knight Riders","2013","3","121","4","99","7.333333333333333","0.24242424242424243"
"Royal Challengers Bangalore","2009","9","92","4","103","5.359223300970874","0.23300970873786409"
"Delhi Daredevils","2009","16","126","4","86","8.790697674418604","0.27906976744186046"
"Sunrisers Hyderabad","2013","12","118","4","106","6.679245283018868","0.22641509433962265"
"Deccan Chargers","2012","18","172","9","88","11.727272727272727","0.6136363636363636"
"Royal Challengers Bangalore","2013","11","146","1","92","9.521739130434783","0.06521739130434782"
"Royal Challengers Bangalore","2010","19","131","6","73","10.767123287671232","0.4931506849315068"
"Delhi Daredevils","2014","4","120","3","85","8.470588235294118","0.21176470588235294"
"Chennai Super Kings","2013","3","107","6","114","5.631578947368421","0.3157894736842105"
"Sunrisers Hyderabad","2014","8","97","1","79","7.367088607594937","0.0759493670886076"
